Gemeinde_Name;E;N;Name;Transportunternehmen_Abkuerzung;Betriebspunkttyp_Bezeichnung;Verkehrsmittel_Bezeichnung;Hšhe
Egg;2695545;1238709;Emmat, Station;VZO;Haltestelle;Bus;516
Cevio;2682511;1144105;Robiei;FSCR;Haltestelle;Kabinenbahn;1905
Kerns;2664907;1187410;Melchtal, Dorf;PAG;Haltestelle;Bus;888
Puidoux;2548128;1148744;Le Verney (embr);SBB CFF FFS;Bedienpunkt;;608
Davos;2784098;1182668;Clavadeler Berg (Talst. J'hn);DKB;Zugeordneter Betriebspunkt;;2469
Conters im Prättigau;2779748;1197445;Conters im Prättigau, Malutt;PAG;Haltestelle;Bus;1069
Basel;2613433;1266848;Basel, Nasenweg;BVB;Haltestelle;Bus;250
Selzach;2601372;1229130;Selzach, Bäriswil;BGU;Haltestelle;Bus;506
Salvan;2566736;1106808;Les Marécottes, Les Perrons;TMR;Haltestelle;Bus;893
Kirchberg (BE);2611881;1214005;Kirchberg BE, Badimatte;BLAG;Haltestelle;Bus;509
Troistorrents;2559731;1120693;Troistorrents, Thiésaz;TPC;Haltestelle;Bus;972
Schlierbach;2651138;1230734;Schlierbach, Oberdorf;PAG;Haltestelle;Bus;711
Vevey;2554668;1146775;Vevey, Crosets;VMCV;Haltestelle;Bus;402
Niederglatt;2680225;1260550;Niederglatt ZH, Zentrum;PAG;Haltestelle;Bus;424
Saas-Fee;2637044;1103452;Saas-Fee Mast 4 (Felskinn);STBAG;Zugeordneter Betriebspunkt;;2582
Saas-Fee;2636883;1102009;Felskinn (Mast 4);STBAG;Zugeordneter Betriebspunkt;;2979
Veytaux;2560563;1141245;Veytaux, Bonivard;VMCV;Haltestelle;Bus;401
Fraubrunnen;2603045;1214901;Etzelkofen, Dorf;RBS;Haltestelle;Bus;525
Wettingen;2666534;1257154;Wettingen, Albisstrasse;RVBW;Haltestelle;Bus;391
Kirchberg (SG);2723221;1252126;Bazenheid, altes Zeughaus;BLWE;Haltestelle;Bus;594
Cressier (FR);2578160;1194550;Cressier FR, bif.;PAG;Haltestelle;Bus;537
Nidau;2585763;1219462;Nidau, Guglerstrasse/Rue Gugler;VB TPB;Haltestelle;Bus;435
Hochdorf;2663611;1225807;Baldegg, Kantonsschule;ZVB;Haltestelle;Bus;465
Locarno;2704866;1113123;Locarno, Saleggi;FART;Haltestelle;Bus;198
Männedorf;2694890;1234504;Männedorf, Dammstrasse;VZO;Haltestelle;Bus;423
Strengelbach;2637075;1236542;Strengelbach, Kreuzplatz;AVA;Haltestelle;Bus;435
Sins;2670566;1223617;Fenkrieden, Dorf;ZVB;Haltestelle;Bus;500
Neuhausen am Rheinfall;2688525;1282791;Neuhausen, Hohfluh;VBSH;Haltestelle;Bus;458
Rüeggisberg;2598682;1184543;Rohrbach b. Riggisberg,Schulh.;PAG;Haltestelle;Bus;739
Lausanne;2540203;1153643;Lausanne, Craivavers;TL;Haltestelle;Bus;644
Cologny;2502910;1119664;Cologny, Montalègre;TPG;Haltestelle;Bus;381
Echichens;2526025;1156550;Colombier VD, poste;MBC;Haltestelle;Bus;517
Wichtrach;2610429;1188829;Wichtrach, Dorfplatz;SVB;Haltestelle;Bus;541
Wassen;2688590;1172923;Wassen;SBB CFF FFS;Bedienpunkt;;928
Châtillon (JU);2592969;1242187;Châtillon JU, bas du village;PAG;Haltestelle;Bus;509
Mammern;2710858;1278098;Mammern;SBB CFF FFS;Haltestelle;Zug;412
Nendaz;2587989;1112195;Tracouet (Prarion);NVRM;Zugeordneter Betriebspunkt;;2190
Evionnaz;2568092;1113171;Evionnaz;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;449
Evolène;2602270;1109781;Evolène, La Villettaz;PAG;Haltestelle;Bus;1213
Saint-Cergue;2500775;1144768;St-Cergue Les Cheseaux;NStCM;Haltestelle;Zug;1102
Einsiedeln;2702898;1220467;Willerzell, Tschuppmoos;PAG;Haltestelle;Bus;891
Obersaxen Mundaun;2724015;1178008;Obersaxen, St. Martin;PAG;Haltestelle;Bus;1344
Magliaso;2712018;1093262;Magliaso;FLP;Haltestelle;Zug;290
Saint-Brais;2574801;1238900;Enson-la-Fin;PAG;Haltestelle;Bus;999
La Chaux-de-Fonds;2553757;1216305;La Chaux-de-Fonds, Patinoire;TRN;Haltestelle;Bus;1025
Kirchleerau;2647241;1236350;Kirchleerau, Abzw./Bank;PAG;Haltestelle;Bus;506
Horw;2668441;1207128;Kastanienbaum, Waldwinkel;VBL;Haltestelle;Bus;466
Schleinikon;2672260;1261770;Schleinikon, Wasen;PAG;Haltestelle;Bus;470
Blonay - Saint-Légier;2557747;1145819;Blonay, Champsavaux;VMCV;Haltestelle;Bus;538
Yverdon-les-Bains;2539217;1181042;Yverdon-les-Bains, La Plaine;TRAVYS;Haltestelle;Bus;434
Laufenburg;2649482;1265108;Sulz AG, Milchhüsli;PAG;Haltestelle;Bus;372
Conthey;2591270;1126106;Coppet (Conthey);PAG;Haltestelle;Bus;1262
Degersheim;2733547;1249367;Degersheim, Hintertschwil;PAG;Haltestelle;Bus;787
Waltenschwil;2665175;1243978;Wohlen Touch the Air;AVA;Haltestelle;Zug;452
Onsernone;2690792;1119339;Vergeletto, Alla Colletta;PAG;Haltestelle;Bus;815
Diemtigen;2610755;1167638;Oey-Diemtigen;BLS;Haltestelle und Bedienpunkt;Zug;670
Oberrüti;2673253;1224335;Oberrüti;SBB CFF FFS;Haltestelle und Bedienpunkt;Zug;403
Inwil;2672660;1220770;Inwil, Körbligen;ZVB;Haltestelle;Bus;408
Lancy;2497662;1116048;Petit-Lancy, Les Esserts;TPG;Haltestelle;Bus / Tram;427
