xtf_id,UID,Nummer,Abkuerzung,Name_oeV,Name_HR,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_BearbeitungsDatum,Gueltigkeit_Stand
ch14uvag00000464,,2140,EB-MK,Euro Bus d.o.o.,Euro Bus d.o.o.,18000101,,20220331,20220508
ch14uvag00224702,,2763,,S.T.A.V. Servizi Trasporti Automobilistici S.P.A.,S.T.A.V. Servizi Trasporti Automobilistici S.P.A.,18000101,,20220331,20220508
ch14uvag00248912,,20155,#BENTROTH,Benteler Rothrist AG,Benteler Rothrist AG,18000101,,20220331,20220508
ch14uvag00000592,CHE-108.083.295,1220,LABB,Lauchernalp Bergbahnen AG,Lauchernalp Bergbahnen AG,18000101,,20220331,20220508
ch14uvag00248913,,20160,#UZE,Uze AG,Uze AG,18000101,,20220331,20220508
ch14uvag00248914,,20461,#LEER,J.H. Keller AG,J.H. Keller AG,18000101,,20220331,20220508
ch14uvag00248915,,20442,#LEER,Pyropac AG,Pyropac AG,18000101,,20220331,20220508
ch14uvag00248916,,20399,#LEER,Gredig & Co. AG,Gredig & Co. AG,18000101,,20220331,20220508
ch14uvag00000331,CHE-114.965.973,1270,ATSR,Alpinatransfers Sàrl,Alpinatransfers Sàrl,18000101,,20220331,20220508
ch14uvag00248917,,20643,#LEER,Cartub AG,Cartub AG,18000101,,20220331,20220508
ch14uvag00000766,CHE-105.766.392,1115,SB,Savognin Bergbahnen AG,Savognin Bergbahnen AG,18000101,,20220331,20220508
ch14uvag00165696,,2692,,Globtour d.o.o.,Globtour d.o.o.,18000101,,20220331,20220508
ch14uvag00000965,,599,VS,Canton du Valais,Canton du Valais,18000101,,20220331,20220508
ch14uvag00000349,,2835,BBL,BBL Logistik GmbH,BBL Logistik GmbH,18000101,,20220331,20220508
ch14uvag00000791,,2052,SEAFEP,Société SEAFEP,Société SEAFEP,18000101,,20220331,20220508
ch14uvag00000765,CHE-101.917.775,1066,SAW,Sportbahnen Axalp Windegg AG,Sportbahnen Axalp Windegg AG,18000101,,20220331,20220508
ch14uvag00001317,CHE-480.864.297,2615,,Gostivari Reisen Matjani & Co.,Gostivari Reisen Matjani & Co.,20110303,,20220331,20220508
ch14uvag00248918,,20615,#LEER,Häusle + Koller AG,Häusle + Koller AG,18000101,,20220331,20220508
ch14uvag00107800,,2670,,Araujotour- Viagenes e Turismo da Beria,Araujotour- Viagenes e Turismo da Beria,18000101,,20220331,20220508
ch14uvag00165865,,2073,(ASTDP),Transturist,Transturist,18000101,,20220331,20220508
ch14uvag00001314,,2610,,GMF Sp. z.o.o.,GMF Sp. z.o.o.,18000101,,20220331,20220508
ch14uvag00000994,CHE-114.876.631,698,ZSB,Zoo Seilbahn AG,Zoo Seilbahn AG,18000101,,20220331,20220508
ch14uvag00000581,CHE-103.673.667,1169,KBS,Kaisereggbahnen Schwarzsee AG,Kaisereggbahnen Schwarzsee AG,18000101,,20220331,20220508
ch14uvag00000772,CHE-115.975.448,2811,SBBIN,SBB Cargo International AG,SBB Cargo International AG,20100909,,20220331,20220508
ch14uvag00001002,,2019,,Intercars International France,Intercars International France,18000101,,20220331,20220508
ch14uvag00001127,,2410,,d.o.o. Turistik Bihac,d.o.o. Turistik Bihac,18000101,,20220331,20220508
ch14uvag00248919,,20486,#LEER,Elektrozinn AG,Elektrozinn AG,18000101,,20220331,20220508
ch14uvag00165862,CHE-105.957.650,3046,SALIN,Schweizer Salinen AG,Schweizer Salinen AG,18000101,,20220331,20220508
ch14uvag00000803,CHE-107.165.387,611,SGG,SCHIFFFAHRTS-GENOSSENSCHAFT GREIFENSEE,SCHIFFFAHRTS-GENOSSENSCHAFT GREIFENSEE,18000101,,20220331,20220508
ch14uvag00165717,CHE-115.279.490,1328,LNVV,LANDI Nord vaudois - Venoge SA,LANDI Nord vaudois - Venoge SA,18000101,,20220331,20220508
ch14uvag00001222,,2514,,Jozef Semko,Jozef Semko,18000101,,20220331,20220508
ch14uvag00001031,,2156,,Autoprometno poduzece d.d.,Autoprometno poduzece d.d.,18000101,,20220331,20220508
ch14uvag00000969,CHE-105.978.379,182,VZO,Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,Verkehrsbetriebe Zürichsee und Oberland (VZO) AG,18000101,,20220331,20220508
ch14uvag00248920,,20493,#LEER,Allreal Generalunternehmung AG,Allreal Generalunternehmung AG,18000101,,20220331,20220508
ch14uvag00248921,,20504,#LEER,Walo Bertschinger AG,Walo Bertschinger AG,18000101,,20220331,20220508
ch14uvag00001237,,2530,,Vaga Tour spol. s r.o.,Vaga Tour spol. s r.o.,18000101,,20220331,20220508
ch14uvag00248922,CHE-106.081.670,20694,IKEAS,IKEA AG,IKEA AG,18000101,,20220331,20220508
ch14uvag00248923,,20057,#COMBELBR,Commune de Belmont-Broye,Commune de Belmont-Broye,18000101,,20220331,20220508
ch14uvag00248924,CHE-105.802.421,20482,MIGLU,"Genossenschaft Migros Luzern, in Dierikon","Genossenschaft Migros Luzern, in Dierikon",18000101,,20220331,20220508
ch14uvag00000801,CHE-105.859.757,2839,SGAG,Stahl Gerlafingen AG,Stahl Gerlafingen AG,19950613,,20220331,20220508
ch14uvag00107845,CHE-142.169.970,3006,ULTBG,Ultra-Brag AG,Ultra-Brag AG,18000101,,20220331,20220508
ch14uvag00107836,,2640,,Strumica-Ekspres d.o.o.,Strumica-Ekspres d.o.o.,18000101,,20220331,20220508
ch14uvag00000868,CHE-105.952.581,42,SZU,Sihltal Zürich Uetliberg Bahn SZU AG,Sihltal Zürich Uetliberg Bahn SZU AG,18000101,,20220331,20220508
ch14uvag00000757,CHE-105.394.474,715,RVBW,Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) AG,Regionale Verkehrsbetriebe Baden-Wettingen (RVBW) AG,18000101,,20220331,20220508
ch14uvag00000553,CHE-107.855.032,437,HB,Harderbahn AG,Harderbahn AG,18000101,,20220331,20220508
ch14uvag00248925,,20617,#LEER,Koenig Feinstahl AG,Koenig Feinstahl AG,18000101,,20220331,20220508
ch14uvag00001174,,2461,,Sud Tours di Carcó Emanuele & C. Snc,Sud Tours di Carcó Emanuele & C. Snc,18000101,,20220331,20220508
ch14uvag00165694,,2691,,Benko Tours 92 d.o.o.,Benko Tours 92 d.o.o.,18000101,,20220331,20220508
ch14uvag00001320,,2619,,No Limit d.o.o.,No Limit d.o.o.,18000101,,20220331,20220508
ch14uvag00000613,CHE-105.761.733,1016,TUG,Touristische Unternehmung Grächen AG,Touristische Unternehmung Grächen AG,18000101,,20220331,20220508
