Gemeinde,coordinatex,coordinatey,name,GMDNAME
Winterthur,47.479048,8.764775,SPAR express Winterthur Tösstalstrasse,Zell (ZH)
Neuenhof,47.451505,8.324378,SPAR express Neuenhof,Neuenhof
St. Gallen,47.436845,9.387597,SPAR express St. Gallen,St. Gallen
Schaffhausen,47.707457,8.637779,"SPAR express Schaffhausen, Hochstrasse",Schaffhausen
Bern,46.954625,7.459954,SPAR express Bern-Papiermühlestrasse,Bern
Bern,46.945411,7.472757,SPAR express Bern Giacomettistr.,Ostermundigen
Horgen,47.261731,8.594915,SPAR express Horgen Seestrasse,Horgen
Winterthur,47.506312,8.756905,SPAR express Winterthur Frauenfelderstrasse,Winterthur
Schönenwerd,47.368858,8.000433,SPAR express Schönenwerd,Schönenwerd
Neuhausen,47.68424,8.61174,SPAR express Neuhausen,Neuhausen am Rheinfall
Bern,46.943305,7.401082,SPAR express Bern Bümpliz,Köniz
Niederwangen,46.927419,7.379717,SPAR express Niederwangen b. Bern,Köniz
Herisau,47.389397,9.289614,SPAR express Herisau Kasernenstrasse,Herisau
Ostermundigen,46.963875,7.483398,SPAR express Ostermundigen,Ostermundigen
Rümlang,47.463395,8.526052,SPAR express Rümlang,Rümlang
Zürich,47.393614,8.51331,SPAR Express Zürich Hardturmstrasse,Zürich
Bilten,47.152139,9.028755,SPAR express Bilten,Schänis
Sierre,46.29737,7.54403,SPAR express Sierre,Sierre
Kehrsatz,46.918311,7.464844,SPAR express Kehrsatz,Kehrsatz
Lugano,46.007556,8.95423,SPAR express Lugano,Lugano
Zürich,47.370508,8.549463,SPAR express Zürich Schauspielhaus,Zürich
Zürich,47.381436,8.537755,SPAR express AVIA ZH Ausstellungsstrasse,Zürich
Freienbach,47.205536,8.758571,SPAR express Freienbach,Freienbach
Werdenberg,47.173943,9.465177,SPAR express Werdenberg,Buchs (SG)
Zermatt,46.018697,7.748402,SPAR Express Zermatt,Zermatt
Basel,47.552436,7.604327,SPAR express Basel,Basel
Basel,47.530216,7.605404,SPAR Express Basel,Münchenstein
Liebefeld,46.931269,7.429891,SPAR express Liebefeld,Köniz
Altdorf,46.888088,8.632572,SPAR express AVIA Altdorf,Altdorf (UR)
Gossau (SG),47.417133,9.25412,SPAR express Gossau,Gossau (SG)
Langenthal,47.209784,7.787537,SPAR express Langenthal,Langenthal
Pratteln,47.527469,7.700713,SPAR express Pratteln Nord,Pratteln
Stäfa,47.238036,8.727782,SPAR express AVIA Stäfa,Stäfa
Zürich,47.41752,8.540631,SPAR express AVIA ZH Neunbrunnenstrasse,Rümlang
Rothenburg,47.101102,8.267466,SPAR express AVIA Rothenburg,Rothenburg
St. Gallen,47.414295,9.357709,SPAR express AVIA Oberstrasse,St. Gallen
Uznach,47.226824,8.98058,SPAR express AVIA Uznach,Uznach
Balgach,47.405078,9.601891,SPAR express AVIA Balgach,Balgach
Widnau,47.395546,9.642246,SPAR express AVIA Widnau,Widnau
Geuensee,47.193681,8.112135,SPAR express AVIA Geuensee,Geuensee
St. Gallen,47.414868,9.339923,SPAR express AVIA SG Zürcherstrasse,Gaiserwald
Vernier,46.215337,6.104287,SPAR express Châtelaine,Vernier
Alpnach Dorf,46.938662,8.270632,SPAR express AVIA Alpnach Dorf,Alpnach
St. Gallen,47.40443,9.304521,SPAR express SG Ikarusstrasse,Herisau
Arosa,46.781351,9.682747,SPAR express AVIA Arosa,Arosa
Wilen bei Wil,47.453563,9.039023,SPAR express AVIA Wilen bei Wil,Wilen (TG)
Volketswil,47.393919,8.657541,SPAR express AVIA Volketswil,Schwerzenbach
Luzern,47.043919,8.313514,SPAR express AVIA Luzern Tribschenstrasse,Luzern
Basel,47.566883,7.563783,SPAR express AVIA Basel Burgfelderstrasse,Basel
Schluein,46.782929,9.221301,SPAR express AVIA Schluein,Schluein
Chur,46.852165,9.505578,SPAR express AVIA Chur Rossboden,Chur
Wädenswil,47.230093,8.667242,SPAR express AVIA Wädenswil,Wädenswil
Sissach,47.466014,7.802588,SPAR express AVIA Sissach,Sissach
Chur,46.846269,9.506803,SPAR express AVIA Chur Emserstrasse,Chur
Egnach,47.544541,9.374826,SPAR express AVIA Egnach,Egnach
Pratteln,47.527433,7.700756,SPAR express Pratteln Süd,Pratteln
Luzern,47.051389,8.272587,SPAR express Luzern Littau,Kriens
Niederbüren,47.46527,9.200704,SPAR express Niederbüren,Niederbüren
Wil,47.471496,9.05865,SPAR express AVIA Wil,Wil (SG)
Tägerwilen,47.660417,9.141914,SPAR express AVIA Tägerwilen,Gottlieben
Weinfelden,47.562843,9.123347,SPAR express AVIA Weinfelden,Weinfelden
Biel,47.127683,7.257916,SPAR express AVIA Biel,Port
Riedholz,47.229826,7.567668,SPAR express AVIA Riedholz,Riedholz
Zwingen,47.43948,7.536221,SPAR express AVIA Zwingen,Zwingen
Aesch (BL),47.457541,7.605525,SPAR express AVIA Aesch,Duggingen
Frauenfeld,47.569635,8.91757,SPAR express AVIA Frauenfeld,Frauenfeld
Basel,47.565511,7.574259,SPAR express AVIA Basel Kannenfeldplatz,Basel
Kriens,47.034435,8.286591,SPAR express AVIA Kriens,Kriens
Olten,47.355141,7.901618,SPAR express Olten,Olten
Bremgarten,47.355548,8.325682,SPAR express Bremgarten,Bremgarten (AG)
Villars-sur-Glâne,46.798988,7.130522,SPAR express Villars sur Glâne,Villars-sur-Glâne
Signy,46.400652,6.20375,SPAR express Signy,Signy-Avenex
Egg bei Zürich,47.304442,8.690503,SPAR express Egg bei Zürich,Egg
Otelfingen,47.458444,8.40683,SPAR express Otelfingen,Boppelsen
Richterswil,47.21404,8.700389,SPAR express Richterswil,Richterswil
Rheinfelden,47.551703,7.803877,SPAR express AVIA Rheinfelden,Rheinfelden
Chur,46.861293,9.53393,SPAR express AVIA Chur Masanserstrasse,Chur
Cugy,46.588103,6.641488,SPAR express Cugy,Cugy (VD)
Puidoux,46.492031,6.769603,SPAR Express Puidoux,Chexbres
Ruswil,47.079972,8.132046,SPAR express Ruswil,Ruswil
Liestal,47.497238,7.723134,SPAR express Liestal,Frenkendorf
Arbon,47.510188,9.424352,SPAR express Arbon,Arbon
St. Gallen,47.407742,9.287392,SPAR Handels AG,Herisau
St. Gallen,47.409742,9.333642,SPAR express Fürstenlandstrasse,Gaiserwald
Oberburg,47.036132,7.629249,SPAR express Oberburg,Oberburg
Ricken,47.26301,9.044466,SPAR mini Ricken,Gommiswald
Trogen,47.407656,9.461278,SPAR mini Trogen,Trogen
Amden,47.149521,9.144058,SPAR mini Amden,Amden
Tafers,46.821807,7.26095,SPAR mini St. Antoni,Schmitten (FR)
Grossaffoltern,47.066688,7.360973,SPAR mini Grossaffoltern,Grossaffoltern
Stettlen,46.959009,7.523611,SPAR mini Stettlen,Stettlen
Rapperswil,47.222821,8.828576,SPAR mini Rapperswil,Rapperswil-Jona
Russikon,47.394625,8.776359,SPAR Mini Russikon,Russikon
Nendeln,47.197138,9.541697,SPAR mini Nendeln,Sennwald
Frauenfeld,47.552624,8.867948,SPAR mini Frauenfeld,Gachnang
Schänis,47.155732,9.037984,EUROSPAR Schänis,Schänis
