name,Lat,Long,Ladentyp,GMDNAME
Genève ,46.2243865,6.1258169,m,Le Grand-Saconnex
Genève ,46.2162367,6.1391683,m,Genève
Genève ,46.2007706,6.1588299,mm,Genève
Genève ,46.2198335,6.1404602,shell,Genève
Genève ,46.2012486,6.1669014,mig,Chêne-Bougeries
Gerlafingen,47.1710372,7.5740858,m,Gerlafingen
Giubiasco ,46.178211,9.0136059,m,Bellinzona
Givisiez,46.8119849,7.1370774,mgls,Givisiez
Gland,46.4170516,6.2756695,m,Gland
Gland,46.4149466,6.2724682,mgls,Gland
Glarus,47.0399224,9.0714747,mig,Glarus
Glarus ,47.0406732,9.0708899,mm,Glarus
Glattbrugg,47.4340313,8.567435,m,Opfikon
Glattbrugg,47.4289402,8.5590956,soca,Opfikon
Glattbrugg,47.4308194,8.5595076,mig,Opfikon
Glis ,46.3089074,7.9695103,mmm,Brig-Glis
Goldach,47.474811,9.4677839,m,Goldach
Goldach ,47.4787605,9.4754725,mgls,Goldach
Goldau,47.05089,8.551124,m,Arth
Gossau,47.4175531,9.2563798,mm,Gossau (SG)
Gossau,47.4119054,9.2530635,mig,Gossau (SG)
Gossau ,47.4119695,9.2504373,m,Gossau (SG)
Gossau ,47.4194624,9.2343749,mgls,Gossau (SG)
Goldau,47.4089206,9.2811214,spez,Herisau
Goldau,47.3065422,8.7558044,m,Gossau (ZH)
Grabs,47.1872693,9.4421965,dmp,Grabs
Gradelle,46.2054501,6.1812063,m,Chêne-Bougeries
Grancia,45.9712181,8.9263036,m,Grancia
Grancia,45.975298,8.928254,fm,Grancia
Grand,46.1749719,6.1223706,mm,Plan-les-Ouates
Granges ,46.8289721,7.1489877,m,Granges-Paccot
Granges,46.8219444,7.1516595,shell,Granges-Paccot
Granges,46.8209959,7.1539379,mm,Granges-Paccot
Greifensee,47.3678007,8.6796218,m,Greifensee
Grenchen,47.1897743,7.3992644,mm,Grenchen
Grenchen,47.193743,7.4055558,soca,Grenchen
Grenchen,47.1915246,7.3895251,mig,Grenchen
Grenchen,47.1905949,7.4057556,spez,Grenchen
Gränichen,47.3598479,8.0979932,m,Gränichen
Gstaad,46.4782457,7.2825683,mm,Saanen
Gümligen,46.93282,7.5042952,m,Muri bei Bern
Hasle Rüegsau,47.0134658,7.6595141,m,Hasle bei Burgdorf
Haute,46.182229,7.2918787,m,Nendaz
Hauterive,47.0100802,6.9730279,shell,Hauterive (NE)
Heiden,47.4389521,9.5361583,m,Heiden
Heimberg,46.782963,7.609361,m,Heimberg
Hergiswil,46.9845047,8.311525,m,Hergiswil (NW)
Herisau ,47.3787332,9.2788104,m,Herisau
Herrlisberg,47.2196201,8.6615398,soca,Wädenswil
Herzogenbuchsee,47.18653,7.7037935,mm,Herzogenbuchsee
