name,Long ,Lat,Ladentyp
Effretikon,8.6864773,47.4258578,mig
Effretikon - Effi-Märt,8.6857324,47.4281027,mm
Egerkingen - Gäupark,7.8020478,47.3175094,mm
Egg,8.691354,47.30247,mm
Eglisau,8.5159717,47.5808035,shell
Eglisau-Nord,8.5139362,47.5792535,m
Egnach,9.371741,47.5490761,mgls
Egolzwil - Schötz,7.9838253,47.1826526,m
Einsiedeln,8.7459076,47.1287061,mm
Einsiedeln,8.7441361,47.1279567,mig
Elgg,8.8617399,47.4983247,m
Embrach,8.5917376,47.5101139,mm
Emmen - Kapf,8.2738074,47.0898808,m
Emmen - Wohncenter,8.2930347,47.0737906,mm
Emmenbrücke,8.2792234,47.0724171,mgls
Emmenbrücke - Sonnenplatz,8.2752688,47.0779516,mm
Engelberg,8.4057173,46.8207122,m
Epalinges,6.6708585,46.5485622,mm
Erde,7.2878921,46.2376096,dmp
Erlenbach - Erlibacher Märt,8.5904643,47.3070068,m
Erlinsbach,8.0084956,47.4053477,m
Erstfeld,8.6500662,46.8251526,m
Eschenbach,8.92332,47.2408601,m
Estavayer-le-Lac,6.8513418,46.847963,mm
Etoy,6.4259736,46.4737122,m
Etoy,6.4185074,46.474662,mgls
Etoy (marché spécialisé),6.4181966,46.4745693,fm
Etrembières (F),6.2322629,46.1810413,mmm
Ettingen,7.5468089,47.4844491,mm
Eyholz - Outlet,7.9069943,46.2939983,spez
FL - Balzers,9.5121868,47.0752919,dmp
FL - Ruggell,9.5235234,47.2403159,dmp
Fahrwangen,8.2432889,47.2942089,m
Faido,8.7997979,46.4780639,m
Fehraltorf,8.755505,47.3866248,m
Fiesch,8.1355669,46.4040003,m
Fislisbach,8.2908926,47.4363454,m
Flamatt,7.3191353,46.8896931,m
Flamatt - Bernstrasse 50,7.323263,46.8899632,mgls
Flawil,9.1863798,47.4130548,mm
Flawil,9.1890751,47.4155516,mig
Fleurier,6.5805278,46.9020353,mm
Forch,8.6666553,47.3176005,shell
Fornasette,8.7995044,45.9923867,pica
Frauenfeld - Bahnhofstrasse,8.896282,47.5572448,mig
Frauenfeld - Multiplex,8.9052823,47.565858,m
Frauenfeld - Passage,8.8963904,47.557151,mm
Frauenfeld - Zeughausstrasse,8.900735,47.5597074,m
Frauenfeld - Zürcherstrasse 276,8.9055846,47.5620839,mgls
Frauenfeld - Zürcherstrasse 291,8.9077074,47.5633973,shell
Freienbach,8.7642881,47.2040089,shell
Frenkendorf,7.7192242,47.5015382,mig
Fribourg - Beauregard,7.1444374,46.8006068,m
Fribourg - Pérolles,7.152315,46.7997003,mm
Fribourg - Schoenberg,7.1723464,46.8097786,m
Fribourg - St. Pierre M-Express,7.1543652,46.8034025,m
Fribourg AMAG,7.1337955,46.7992026,soca
Fribourg Gare,7.1500941,46.8033304,m
Fribourg Jura,7.139124,46.8114955,soca
Fribourg Ste-Thérèse,7.1490104,46.8101267,mm
Frick,8.0188978,47.5080226,m
Frutigen,7.6483603,46.5856019,m
Fully,7.1193852,46.136677,m
Fällanden,8.6409527,47.3739538,m
Füllinsdorf,7.7213368,47.5076558,mgls
Füllinsdorf,7.7226765,47.4993352,soca
