Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode
Chavornay,46.70913435,6.57006726,07:30 - 19:00,Coop Supermarché Chavornay,1373
Bern,46.94762929,7.44147076,06:30 - 20:00,Coop Supermarkt Bern Schauplatzgasse,3011
Thun,46.75743381,7.62994346,07:00 - 19:00,Coop Supermarkt Thun Bälliz,3600
Luzern,47.04860355,8.30669413,06:30 - 19:00,Coop Supermarkt Hirschmatt Luzern,6003
Ruswil,47.08378731,8.12711931,08:00 - 19:00,Coop Supermarkt Ruswil,6017
Bern,46.95345676,7.45825956,07:30 - 20:00,Coop Supermarkt Bern Schönburg,3013
Windisch,47.48123598,8.21095377,06:00 - 19:00,Coop Supermarkt Windisch Bahnhof,5210
Pfäffikon,47.20293591,8.77866065,06:00 - 21:00,Coop Supermarkt Pfäffikon Bahnhof,8808
Zürich,47.36442878,8.53096968,05:30 - 22:00,Coop Supermarkt Zürich Enge Bahnhof,8002
Olten,47.35213801,7.90789544,06:00 - 22:00,Coop Supermarkt Olten Bahnhof,4600
Worblaufen,46.97907525,7.45761164,06:00 - 20:00,Coop Supermarkt Worblaufen,3048
Biel,47.13298724,7.24297608,06:00 - 22:00,Coop Supermarkt Biel SBB,2502
Burgdorf,47.06064381,7.62163974,06:00 - 22:00,Coop Supermarkt Burgdorf Bahnhof,3400
Thun,46.75491549,7.62968584,06:00 - 22:00,Coop Supermarkt Thun Bahnhof,3600
Goldau,47.04920085,8.54938181,06:00 - 22:00,Coop Supermarkt Goldau Bahnhof,6410
Neuchâtel,46.99645756,6.93583574,06:00 - 22:00,Coop Supermarché Neuchatel Gare,2000
Genève,46.20930459,6.14246719,06:00 - 22:00,Coop Supermarché Genève Gare centre,1201
Basel,47.56106924,7.59120384,06:30 - 20:00,Coop Supermarkt Basel Greifengasse,4058
Rapperswil,47.22532225,8.81790093,06:00 - 22:00,Coop Supermarkt Rapperswil Bahnhof,8640
Geneve,46.20955298,6.14294082,06:00 - 22:00,Coop Supermarché Genève Gare Mont-Blanc,1201
La Tour-de-Trême,46.60659314,7.07081646,07:30 - 19:00,Coop Supermarché La Tour-de-Trême,1635
Wauwil,47.18416951,8.02047046,07:00 - 19:00,Coop Supermarkt Wauwil,6242
Villars sur Ollon,46.29896751,7.05438304,08:00 - 19:00,Coop Supermarché Villars sur Ollon,1884
Penthalaz,46.6088668,6.52674919,07:30 - 19:00,Coop Supermarché Penthalaz Village,1305
Basel,47.55866595,7.60579919,07:30 - 19:00,Coop Supermarkt Basel Roche B11,4058
Weggis,47.03539832,8.42363614,07:30 - 19:00,Coop Supermarkt Weggis,6353
Rüfenacht,46.92985307,7.53171953,08:00 - 19:00,Coop Supermarkt Rüfenacht,3075
Thun,46.74848991,7.62589402,07:00 - 19:00,Coop Supermarkt Thun Frutigenstrasse,3604
Bern,46.95354792,7.43169753,07:00 - 20:00,Coop Supermarkt Bern Länggasse,3012
Nottwil,47.13684591,8.132429,07:00 - 19:00,Coop Supermarkt Nottwil Rösslipark,6207
Feuerthalen,47.69069774,8.64743858,08:00 - 20:00,Coop Supermarkt Feuerthalen Rhymarkt,8245
Hilterfingen,46.73592723,7.65892651,08:00 - 18:30,Coop Supermarkt Hilterfingen,3652
Täuffelen,47.07171608,7.20179413,07:00 - 19:00,Coop Supermarkt Täuffelen,2575
Bern,46.94787216,7.43780607,06:00 - 20:00,Coop Supermarkt Bern Postparc,3008
Meilen,47.26860958,8.64652325,07:00 - 20:00,Coop Supermarkt Meilen,8706
Vésenaz,46.23868552,6.19744072,08:00 - 19:00,Coop Supermarché Vésenaz,1222
Dietikon,47.40582104,8.39220945,07:00 - 20:00,Coop Supermarkt Dietikon Steinmürlistrasse,8953
Zizers,46.9408341,9.56786323,07:30 - 19:30,Coop Supermarkt Zizers,7205
Zürich,47.41254952,8.5464142,06:30 - 20:00,Coop Supermarkt Zürich Andreasturm,8050
Zürich,47.39329024,8.48474897,07:00 - 21:00,Coop Supermarkt Zürich Vulkanstrasse,8048
Rennaz,46.38191562,6.92089729,08:00 - 19:30,Coop Supermarché Rennaz Provisoire,1847
Martigny,46.12673639,7.06014958,06:00 - 21:00,Coop Supermarché Martigny Grand Saint-Bernard,1920
Lotzwil,47.19135296,7.79057699,07:00 - 19:00,Coop Supermarkt Lotzwil,4932
Chur,46.85290275,9.52962459,06:00 - 20:00,Coop Supermarkt Chur Steinbock,7001
Grindelwald,46.62505287,8.01885249,08:00 - 18:00,Coop Supermarkt Grindelwald Terminal,3818
Bern,46.96937732,7.46375802,07:00 - 19:00,Coop Supermarkt Bern Wankdorf TRIO,3014
Stettlen,46.95800316,7.5140451,07:00 - 19:00,Coop Supermarkt Deisswil,3066
Erlenbach,46.6612463,7.55491978,07:00 - 19:00,Coop Supermarkt Erlenbach i.S.,3762
Villars-sur-Glâne,46.79796201,7.12399911,08:00 - 19:00,Coop Supermarché Villars-sur-Glâne,1752
Zürich Airport Shopping,47.45072066,8.56263163,06:00 - 23:00,Coop Supermarkt Zürich Airport Shopping,8060
Aarau,47.39191428,8.04628889,08:00 - 19:00,Coop City Aarau,5000
Pieterlen,47.17449411,7.33645497,07:00 - 19:00,Coop Supermarkt Pieterlen,2542
Grenchen,47.19377516,7.40713436,07:00 - 18:30,Coop Supermarkt Grenchen Leuzigenstrasse,2540
Würenlos,47.43454515,8.35504928,08:30 - 21:00,Coop Supermarkt Würenlos Autobahnraststätte,5436
Bern,46.94800694,7.44600242,07:00 - 19:00,Coop Supermarkt Bern Marktgasse,3011
Küsnacht,47.32662718,8.60219301,07:30 - 20:00,Coop Supermarkt Küsnacht Itschnach Prov.,8700
Naters,46.32820554,8.01050031,07:30 - 18:30,Coop Supermarkt Naters Aletsch,3904
Tann-Dürnten,47.26811823,8.85261536,07:00 - 20:00,Coop Supermarkt Tann-Dürnten,8632
Saas-Fee,46.10913516,7.92871133,08:00 - 18:30,Coop Supermarkt Saas Fee Postplatz,3906
Bachenbülach,47.50586398,8.54166986,08:00 - 21:00,Coop Supermarkt Bachenbülach Provisorium,8184
St. Gallen,47.42617159,9.37687363,08:00 - 19:00,Coop City St. Gallen,9004
Neuchâtel,46.98993715,6.93008643,08:00 - 19:00,Coop City Neuchâtel,2000
Luzern,47.05214166,8.30393482,09:00 - 19:00,Coop City Luzern,6004
Liestal,47.48344865,7.73638454,08:00 - 19:00,Coop Supermarkt Liestal Bücheli Center,4410
Schaffhausen,47.6963001,8.63451051,08:30 - 19:00,Coop City Schaffhausen,8200
Lugano,46.00278434,8.94984837,08:00 - 19:00,Coop City Lugano,6900
Lausanne,46.51875289,6.63537829,08:00 - 19:00,Coop City Lausanne St. François,1005
Chur,46.85269543,9.53161027,09:00 - 19:00,Coop City Chur K.,7000
Vernier,46.22175009,6.09648987,08:30 - 19:00,Coop Supermarché Vernier Blandonnet Centre,1214
