Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode
Grand-Lancy,46.17567388,6.12061609,08:00 - 19:00,Coop Supermarché Grand-Lancy Palettes,1212
Bernex,46.17415499,6.0709467,08:00 - 19:00,Coop Supermarché Bernex,1233
Bex,46.25038781,7.0136326,07:30 - 19:00,Coop Supermarché Bex,1880
Vouvry,46.3336888,6.89043385,07:30 - 18:30,Coop Supermarché Vouvry,1896
Lausanne,46.510312,6.62617411,07:30 - 19:00,Coop Supermarché Lausanne La Harpe,1007
Saint-Maurice,46.21773243,7.00634579,07:45 - 18:30,Coop Supermarché Saint-Maurice,1890
Lausanne,46.53766375,6.63170766,07:30 - 19:00,Coop Supermarché Lausanne Entrebois,1018
Chexbres,46.48242867,6.77471763,07:30 - 19:00,Coop Supermarché Chexbres,1071
Cheseaux,46.58638965,6.60466177,Closed,Coop Supermarché Cheseaux,1033
Savigny,46.53812017,6.73110463,07:30 - 19:00,Coop Supermarché Savigny,1073
Sainte-Croix,46.82293892,6.50148187,08:00 - 18:30,Coop Supermarché Sainte-Croix,1450
Vallorbe,46.7119266,6.37814115,07:30 - 18:30,Coop Supermarché Vallorbe,1337
La Sarraz,46.65855463,6.51144531,07:00 - 19:00,Coop Supermarché La Sarraz,1315
Rolle,46.45786028,6.33864805,07:30 - 19:00,Coop Supermarché Rolle,1180
Blonay,46.46659457,6.89432309,07:30 - 19:00,Coop Supermarché Blonay,1807
Luzern,47.03731803,8.30855099,07:30 - 19:00,Coop Supermarkt Luzern Hubelmatt,6005
Horw,47.01946099,8.31102372,07:30 - 19:00,Coop Supermarkt Horw,6048
Meggen,47.0467889,8.37396748,07:30 - 19:00,Coop Supermarkt Meggen,6045
Oberägeri,47.13497234,8.61317404,07:30 - 19:00,Coop Supermarkt Oberägeri,6315
Hünenberg,47.17547309,8.42630727,07:30 - 19:00,Coop Supermarkt Hünenberg,6331
Alpnach-Dorf,46.93770924,8.26973,07:30 - 19:00,Coop Supermarkt Alpnach,6055
Stansstad,46.97554021,8.34172142,07:30 - 19:00,Coop Supermarkt Stansstad,6362
Luzern,47.06118305,8.30858289,07:00 - 19:00,Coop Supermarkt Luzern Schlossberg,6004
Hergiswil,46.98595768,8.31149146,07:30 - 20:00,Coop Supermarkt Hergiswil Landweg,6052
Schötz,47.16899711,7.99264652,08:00 - 19:00,Coop Supermarkt Schötz,6247
Andermatt,46.63439472,8.59620411,07:30 - 19:00,Coop Supermarkt Andermatt,6490
Winterthur,47.48459244,8.75882087,07:30 - 20:00,Coop Supermarkt Winterthur Seen,8405
Winterthur,47.50846621,8.71790154,07:30 - 20:00,Coop Supermarkt Winterthur Feldstrasse,8400
Schaffhausen,47.70393027,8.61570886,07:30 - 19:00,Coop Supermarkt Schaffhausen Riet,8200
Neuhausen am Rheinfall,47.68013458,8.60649641,07:30 - 20:00,Coop Supermarkt Neuhausen Schützengut,8212
Wiesendangen,47.52300103,8.7877153,07:30 - 19:00,Coop Supermarkt Wiesendangen,8542
Frauenfeld,47.56122368,8.88730562,08:00 - 20:00,Coop Supermarkt Frauenfeld Fallengatter,8500
Seuzach,47.53699798,8.73410283,07:30 - 20:00,Coop Supermarkt Seuzach,8472
Turbenthal,47.44008574,8.84412456,07:30 - 19:30,Coop Supermarkt Turbenthal,8488
Müllheim,47.60175154,9.00055571,08:00 - 19:00,Coop Supermarkt Müllheim,8555
Sulgen,47.54076762,9.18359409,07:30 - 19:00,Coop Supermarkt Sulgen,8583
St. Gallen,47.42435149,9.37435487,07:00 - 19:00,Coop Supermarkt St. Gallen Neugasse,9000
Trübbach,47.07419488,9.48093882,07:30 - 19:00,Coop Supermarkt Trübbach,9477
Heiden,47.44376949,9.53214943,07:30 - 19:00,Coop Supermarkt Heiden,9410
Arosa,46.77869722,9.67738356,08:00 - 19:00,Coop Supermarkt Arosa Dorf,7050
Poschiavo,46.32371079,10.05482009,08:00 - 12:15 13:30 - 18:30,Coop Supermercato Poschiavo,7742
Zuoz,46.59994428,9.96062741,08:00 - 19:00,Coop Supermarkt Zuoz,7524
Zernez,46.70041687,10.09405322,08:00 - 12:30 14:00 - 18:30,Coop Supermarkt Zernez,7530
Walenstadt,47.12344248,9.3145561,07:30 - 19:00,Coop Supermarkt Walenstadt,8880
Küblis,46.91411004,9.7775948,08:00 - 19:00,Coop Supermarkt Küblis,7240
