Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode,Match,Gemeinde nach LONGLAT,Unnamed: 8,GMDNAME
Schöftland,47.30858932,8.05113268,07:30 - 20:00,Coop Supermarkt Schöftland,5040,1681.0,,,Schöftland
Schönbühl,47.0204935,7.49804556,06:30 - 19:00,Coop Supermarkt Schönbühl Dorf,3322,,,,Urtenen-Schönbühl
Schönenwerd,47.37324191,8.00186508,07:30 - 18:30,Coop Supermarkt Schönenwerd,5012,1684.0,,,Schönenwerd
Schötz,47.16899711,7.99264652,08:00 - 19:00,Coop Supermarkt Schötz,6247,1687.0,,,Schötz
Schüpfen,47.04103789,7.37897388,07:00 - 19:00,Coop Supermarkt Schüpfen,3054,1690.0,,,Schüpfen
Schüpfheim,46.94712881,8.00920933,07:30 - 19:00,Coop Supermarkt Schüpfheim,6170,1691.0,,,Schüpfheim
Schwanden,46.99491397,9.07539788,07:30 - 19:00,Coop Supermarkt Schwanden,8762,,,,Glarus Süd
Schwarzenburg,46.81980049,7.34190048,08:00 - 19:00,Coop Supermarkt Schwarzenburg,3150,1696.0,,,Schwarzenburg
Schwyz,47.02031389,8.65166624,07:30 - 20:00,Coop Supermarkt Schwyz,6430,1700.0,,,Schwyz
Scuol,46.79543626,10.29543821,08:00 - 19:00,Coop Supermarkt Scuol,7550,1701.0,,,Scuol
Sedrun,46.67886146,8.77109959,08:00 - 12:15 13:30 - 18:30,Coop Supermarkt Sedrun,7188,,,,Tujetsch
Seewen,47.03345952,8.6282528,08:00 - 20:00,Coop Supermarkt Seewen-Markt,6423,1709.0,,,Steinen
Selzach,47.20439184,7.45629194,08:00 - 18:30,Coop Supermarkt Selzach,2545,1713.0,,,Selzach
Sembrancher,46.07844271,7.13920689,07:30 - 18:30,Coop Supermarché Sembrancher,1933,1714.0,,,Sembrancher
Sementina,46.18576839,8.99253258,08:00 - 19:00,Coop Supermercato Sementina,6514,,,,Bellinzona
Sempach,47.1245478,8.19398881,07:30 - 19:00,Coop Supermarkt Sempach,6204,1715.0,,,Sempach
Seon,47.34761615,8.16171839,07:30 - 20:00,Coop Supermarkt Seon,5703,1719.0,,,Seon
Seuzach,47.53699798,8.73410283,07:30 - 20:00,Coop Supermarkt Seuzach,8472,1723.0,,,Seuzach
Sevelen,47.12257785,9.48995492,07:30 - 19:00,Coop Supermarkt Sevelen,9475,1725.0,,,Sevelen
Siebnen,47.17569614,8.9019567,08:00 - 20:00,Coop Supermarkt Siebnen,8854,,,,Wangen (SZ)
Sierre,46.29386897,7.53487764,08:00 - 18:30,Coop Supermarché Sierre,3960,1727.0,,,Sierre
Sierre,46.28103832,7.51273395,08:00 - 18:30,Coop Supermarché Sierre Rossfeld,3960,1727.0,,,Chalais
Signau,46.92256246,7.7287124,08:00 - 18:30,Coop Supermarkt Signau,3534,1729.0,,,Signau
Signy,46.39762052,6.20594625,08:30 - 19:00,Coop Supermarché Signy,1274,,,,Signy-Avenex
Sigriswil,46.71793343,7.71407497,07:30 - 18:30,Coop Supermarkt Sigriswil,3655,1731.0,,,Sigriswil
Sins,47.19078105,8.39571128,07:30 - 20:00,Coop Supermarkt Sins,5643,1737.0,,,Sins
Sion,46.22611717,7.36067699,08:00 - 18:30,Coop Supermarché Sion sous Gare,1950,1738.0,,,Sion
Sirnach,47.46287334,8.99635667,08:00 - 19:00,Coop Supermarkt Sirnach,8370,1739.0,,,Münchwilen (TG)
Sissach,47.46348156,7.81366194,08:00 - 20:00,Coop Supermarkt Sissach,4450,1742.0,,,Sissach
Solduno,46.16928981,8.78104074,08:00 - 19:00,Coop Supermercato Locarno Solduno,6604,,,,Locarno
Solothurn,47.20470104,7.53842558,07:00 - 18:30,Coop Supermarkt Solothurn Rosengarten,4500,1746.0,,,Zuchwil
Solothurn,47.20725044,7.53383696,08:00 - 18:30,Coop Supermarkt Solothurn Westring,4500,1746.0,,,Solothurn
Solothurn,47.20809136,7.51587396,08:00 - 18:30,Coop Supermarkt Solothurn Brühl,4500,1746.0,,,Langendorf
Solothurn,47.20379718,7.54337334,05:30 - 22:00,Coop Supermarkt Solothurn Bahnhof,4501,1746.0,,,Zuchwil
Sonceboz,47.19503952,7.17795522,Closed,Coop Supermarché Sonceboz,2605,,,,Sonceboz-Sombeval
Spiez,46.6894491,7.67574465,08:00 - 19:00,Coop Supermarkt Spiez,3700,1757.0,,,Spiez
St. Gallen,47.42435149,9.37435487,07:00 - 19:00,Coop Supermarkt St. Gallen Neugasse,9000,1760.0,,,St. Gallen
St. Gallen,47.43790123,9.41317046,08:00 - 19:00,Coop Supermarkt St. Gallen Gallusmarkt,9016,1760.0,,,Mörschwil
St. Gallen,47.40862158,9.30684352,08:00 - 19:00,Coop Supermarkt St. Gallen Shopping Arena,9015,1760.0,,,Gaiserwald
St. Gallen,47.42230575,9.3686466,06:00 - 22:00,Coop Supermarkt St. Gallen Bahnhof,9000,1760.0,,,St. Gallen
St. Gallen,47.42617159,9.37687363,08:00 - 19:00,Coop City St. Gallen,9004,1760.0,,,St. Gallen
St. Gallen Lerchenfeld,47.41270539,9.33611844,08:00 - 19:00,Coop Supermarkt St. Gallen Lerchenfeld,9014,,,,Gaiserwald
St. Margrethen,47.45146116,9.63551759,07:30 - 19:00,Coop Supermarkt St. Margrethen,9430,1761.0,,,St. Margrethen
St. Moritz,46.49881767,9.83885606,08:00 - 19:00,Coop Supermarkt St. Moritz-Dorf,7500,1762.0,,,St. Moritz
St. Moritz,46.49089611,9.83507815,08:00 - 19:00,Coop Supermarkt St. Moritz Bellevue,7500,1762.0,,,St. Moritz
Stäfa,47.24159506,8.72469272,07:30 - 20:00,Coop Supermarkt Stäfa,8712,1769.0,,,Stäfa
Stallikon,47.34282447,8.48309633,07:00 - 20:00,Coop Supermarkt Stallikon,8143,1773.0,,,Wettswil am Albis
Stans,46.9583762,8.36868279,07:30 - 19:00,Coop Supermarkt Stans,6370,1775.0,,,Stans
Stansstad,46.97554021,8.34172142,07:30 - 19:00,Coop Supermarkt Stansstad,6362,1776.0,,,Stansstad
Steckborn,47.66403793,8.97942319,08:00 - 20:00,Coop Supermarkt Steckborn,8266,1779.0,,,Steckborn
Steffisburg,46.77576102,7.63332117,08:00 - 19:00,Coop Supermarkt Steffisburg,3612,1780.0,,,Steffisburg
Stein,47.54637879,7.9523182,08:00 - 20:00,Coop Supermarkt Stein Aargau,4332,,,,Stein (AG)
Stein am Rhein,47.65324814,8.85333189,07:30 - 20:00,Coop Supermarkt Stein am Rhein,8260,1784.0,,,Stein am Rhein
Steinhausen,47.19695076,8.48374435,07:00 - 19:00,Coop Supermarkt Steinhausen,6312,1788.0,,,Steinhausen
Stettlen,46.95800316,7.5140451,07:00 - 19:00,Coop Supermarkt Deisswil,3066,1793.0,,,Stettlen
Strengelbach,47.27964302,7.9270188,07:30 - 19:00,Coop Supermarkt Strengelbach,4802,1795.0,,,Strengelbach
Studen,47.11298565,7.30101082,07:00 - 19:00,Coop Supermarkt Studen,2557,,,,Studen (BE)
Subingen,47.19650886,7.61261519,07:00 - 18:30,Coop Supermarkt Subingen,4553,1798.0,,,Subingen
Sugiez,46.96526247,7.12233541,07:30 - 19:00,Coop Supermarché Sugiez,1786,,,,Mont-Vully
Suhr,47.37429743,8.07731065,07:30 - 20:00,Coop Supermarkt Suhr,5034,1801.0,,,Suhr
Sulgen,47.54076762,9.18359409,07:30 - 19:00,Coop Supermarkt Sulgen,8583,1802.0,,,Sulgen
Sumiswald,47.02937741,7.74412922,07:30 - 19:00,Coop Supermarkt Sumiswald,3454,1804.0,,,Sumiswald
Sursee,47.17300759,8.10336176,08:00 - 19:00,Coop Supermarkt Sursee Surseepark,6210,1807.0,,,Sursee
Susten,46.31144565,7.64396741,06:00 - 18:30,Coop Supermarkt Susten,3952,,,,Leuk
Tafers,46.81573001,7.21660158,07:00 - 18:30,Coop Supermarkt Tafers,1712,1812.0,,,Tafers
Tägerwilen,47.65653257,9.13323139,08:00 - 20:00,Coop Supermarkt Tägerwilen,8274,1814.0,,,Tägerwilen
Tann-Dürnten,47.26811823,8.85261536,07:00 - 20:00,Coop Supermarkt Tann-Dürnten,8632,,,,Rüti (ZH)
Täsch,46.07653848,7.77854419,08:00 - 18:30,Coop Supermarkt Täsch,3929,1818.0,,,Täsch
Täuffelen,47.07171608,7.20179413,07:00 - 19:00,Coop Supermarkt Täuffelen,2575,1819.0,,,Täuffelen
Taverne,46.06193774,8.92917859,07:30 - 19:00,Coop Supermercato Taverne,6807,,,,Torricella-Taverne
Tenero,46.17474097,8.85550218,08:00 - 19:00,Coop Supermercato Tenero,6598,,,,Tenero-Contra
Tesserete,46.06852221,8.96821415,08:00 - 19:00,Coop Supermercato Tesserete,6950,,,,Capriasca
Thalwil,47.2966293,8.56214888,07:30 - 20:00,Coop Supermarkt Thalwil,8800,1835.0,,,Thalwil
Thayngen,47.74630535,8.70606469,07:30 - 19:00,Coop Supermarkt Thayngen,8240,1836.0,,,Thayngen
Therwil,47.49911672,7.55450297,08:00 - 19:00,Coop Supermarkt Therwil,4106,1837.0,,,Therwil
Thierrens,46.70344617,6.75443292,07:30 - 19:00,Coop Supermarché Thierrens,1410,,,,Montanaire
Thônex,46.19248946,6.20168158,07:30 - 19:00,Coop Supermarché Thônex,1226,1839.0,,,Thônex
Thun,46.75348157,7.61511373,07:00 - 19:00,Coop Supermarkt Thun Schönau,3600,1841.0,,,Thun
Thun,46.74348979,7.59492905,07:00 - 19:00,Coop Supermarkt Allmendingen,3608,1841.0,,,Amsoldingen
Thun,46.76456749,7.60059314,07:00 - 19:00,Coop Supermarkt Thun Lerchenfeld,3603,1841.0,,,Thun
Thun,46.74052623,7.62194084,08:00 - 20:00,Coop Supermarkt Thun Strättligen Markt,3604,1841.0,,,Thun
Thun,46.7589364,7.62426801,08:00 - 20:00,Coop Supermarkt Thun Rexmax,3600,1841.0,,,Thun
Thun,46.75743381,7.62994346,07:00 - 19:00,Coop Supermarkt Thun Bälliz,3600,1841.0,,,Thun
Thun,46.75491549,7.62968584,06:00 - 22:00,Coop Supermarkt Thun Bahnhof,3600,1841.0,,,Thun
Thun,46.74848991,7.62589402,07:00 - 19:00,Coop Supermarkt Thun Frutigenstrasse,3604,1841.0,,,Thun
Thusis,46.69791661,9.439965,08:00 - 20:00,Coop Supermarkt Thusis,7430,1846.0,,,Thusis
Toffen,46.86032568,7.49371292,08:00 - 19:00,Coop Supermarkt Toffen,3125,1849.0,,,Toffen
Tramelan,47.22353597,7.09919061,07:30 - 19:00,Coop Supermarché Tramelan,2720,1855.0,,,Tramelan
Treyvaux,46.72732796,7.13694481,07:00 - 18:30,Coop Supermarché Treyvaux,1733,1862.0,,,Treyvaux
Triengen,47.23770058,8.07447634,07:30 - 19:00,Coop Supermarkt Triengen,6234,1863.0,,,Triengen
Trimbach,47.36153212,7.9002339,07:30 - 18:30,Coop Supermarkt Trimbach,4632,1865.0,,,Trimbach
Trübbach,47.07419488,9.48093882,07:30 - 19:00,Coop Supermarkt Trübbach,9477,,,,Wartau
Turbenthal,47.44008574,8.84412456,07:30 - 19:30,Coop Supermarkt Turbenthal,8488,1882.0,,,Turbenthal
Uetendorf,46.77476003,7.57228989,08:00 - 19:00,Coop Supermarkt Uetendorf,3661,1892.0,,,Uetendorf
Uetikon,47.26261726,8.67715104,07:30 - 20:00,Coop Supermarkt Uetikon,8707,,,,Uetikon am See
Uettligen,46.98789692,7.38480423,07:00 - 19:00,Coop Supermarkt Uettligen,3043,,,,Wohlen bei Bern
Uitikon,47.36812534,8.46227613,08:00 - 20:00,Coop Supermarkt Uitikon Waldegg,8142,1896.0,,,Uitikon
Unterägeri,47.1377688,8.58114696,07:30 - 19:00,Coop Supermarkt Unterägeri Chilematt,6314,1898.0,,,Unterägeri
Unterentfelden,47.3605739,8.05199496,08:00 - 20:00,Coop Supermarkt Unterentfelden,5035,1902.0,,,Oberentfelden
Unterkulm,47.31193315,8.11436308,07:30 - 20:00,Coop Supermarkt Unterkulm,5726,1904.0,,,Unterkulm
Unterseen,46.68472699,7.84983741,08:00 - 19:00,Coop Supermarkt Unterseen,3800,1909.0,,,Unterseen
Untersiggenthal,47.50197063,8.25512259,08:00 - 19:00,Coop Supermarkt Untersiggenthal,5417,1910.0,,,Untersiggenthal
Unterwasser,47.19674857,9.31043582,07:30 - 19:00,Coop Supermarkt Unterwasser,9657,,,,Wildhaus-Alt St. Johann
Urdorf,47.38503255,8.42232589,08:00 - 20:00,Coop Supermarkt Urdorf,8902,1912.0,,,Urdorf
Urnäsch,47.31651705,9.28193397,07:30 - 19:00,Coop Supermarkt Urnäsch,9107,1914.0,,,Urnäsch
Urtenen-Schönbühl,47.01866603,7.50087146,08:00 - 19:00,Coop Supermarkt Schönbühl Center,3322,1918.0,,,Urtenen-Schönbühl
Uster,47.35158903,8.71621428,06:00 - 22:00,Coop Supermarkt Uster Bahnhof,8610,1919.0,,,Uster
Uster,47.34504996,8.73069552,07:30 - 20:00,Coop Supermarkt Uster Oberuster,8610,1919.0,,,Uster
Uster,47.35499935,8.71286753,08:00 - 20:00,Coop Supermarkt Uster Winterthurerstrasse,8610,1919.0,,,Uster
Uster,47.34612243,8.70208034,07:30 - 20:00,Coop Supermarkt Uster Niederuster,8610,1919.0,,,Uster
Utzenstorf,47.13169072,7.5567832,08:00 - 19:00,Coop Supermarkt Utzenstorf,3427,1922.0,,,Utzenstorf
Uvrier,46.25147159,7.40808736,08:30 - 18:30,Coop Supermarché Uvrier,1958,,,,Saint-Léonard
Uznach,47.2251971,8.97017386,09:00 - 19:00,Coop Supermarkt Uznach Linthpark,8730,1923.0,,,Uznach
Uzwil,47.43615894,9.13910004,08:00 - 19:00,Coop Supermarkt Uzwil,9240,1924.0,,,Uzwil
Vaduz,47.15438917,9.51030107,07:00 - 19:00,Coop Supermarkt Vaduz Mühleholz,9490,,,,Buchs (SG)
Vaduz FL,47.14019056,9.52076266,07:00 - 19:00,Coop Supermarkt Vaduz Städtlemarkt,9490,,,,Sevelen
Vallorbe,46.7119266,6.37814115,07:30 - 18:30,Coop Supermarché Vallorbe,1337,1939.0,,,Vallorbe
Verbier,46.0973949,7.22532443,08:00 - 19:00,Coop Supermarché Verbier,1936,,,,Val de Bagnes
Vernier,46.21457807,6.08285196,08:00 - 19:00,Coop Supermarché Vernier,1214,1953.0,,,Vernier
Vernier,46.22175009,6.09648987,08:30 - 19:00,Coop Supermarché Vernier Blandonnet Centre,1214,1953.0,,,Vernier
Verscio,46.18620678,8.73304986,08:00 - 19:00,Coop Supermercato Verscio,6653,,,,Terre di Pedemonte
Versoix,46.28072659,6.16660841,08:00 - 19:00,Coop Supermarché Versoix Centre,1290,1955.0,,,Versoix
Vésenaz,46.23868552,6.19744072,08:00 - 19:00,Coop Supermarché Vésenaz,1222,,,,Collonge-Bellerive
Vevey,46.46037413,6.84508853,08:00 - 18:30,Coop Supermarché Vevey,1800,1958.0,,,Vevey
Vezia,46.02126179,8.93660527,08:00 - 19:00,Coop Supermercato Vezia,6943,1963.0,,,Vezia
Vich,46.42453106,6.25500696,07:30 - 19:30,Coop Supermarché Vich,1267,1964.0,,,Vich
Viganello,46.00952126,8.96467754,08:00 - 19:00,Coop Supermercato Lugano Viganello,6962,,,,Lugano
Villars sur Ollon,46.29896751,7.05438304,08:00 - 19:00,Coop Supermarché Villars sur Ollon,1884,,,,Ollon
Villars-sur-Glâne,46.79796201,7.12399911,08:00 - 19:00,Coop Supermarché Villars-sur-Glâne,1752,1971.0,,,Villars-sur-Glâne
Villeneuve,46.39828198,6.92540909,08:00 - 19:00,Coop Supermarché Villeneuve,1844,,,,Villeneuve (VD)
Villmergen,47.34698201,8.24516576,08:00 - 20:00,Coop Supermarkt Villmergen,5612,1978.0,,,Villmergen
Visp,46.29237453,7.87970241,08:00 - 18:30,Coop Supermarkt Visp Centerpark,3930,1985.0,,,Visp
Visp Eyholz,46.29627224,7.91461964,08:00 - 18:30,Coop Supermarkt Eyholz Center,3930,,,,Lalden
Volketswil,47.38251221,8.66763434,09:00 - 20:00,Coop Supermarkt Volketswil Volkiland,8604,1989.0,,,Schwerzenbach
Vouvry,46.3336888,6.89043385,07:30 - 18:30,Coop Supermarché Vouvry,1896,1992.0,,,Vouvry
Vuadens,46.61808645,7.01816451,07:30 - 19:00,Coop Supermarché Vuadens,1628,1993.0,,,Vuadens
Wabern,46.92854077,7.45045086,08:00 - 20:00,Coop Supermarkt Wabern,3084,,,,Bern
Wädenswil,47.23034678,8.6723885,07:00 - 20:00,Coop Supermarkt Wädenswil,8820,2005.0,,,Wädenswil
Wädenswil,47.23108584,8.66973782,08:00 - 19:00,Coop Supermarkt Wädenswil di alt Fabrik,8820,2005.0,,,Wädenswil
Wald ZH,47.27363833,8.91460743,07:30 - 20:00,Coop Supermarkt Wald ZH,8636,,,,Wald (ZH)
Waldstatt,47.35746202,9.28472718,07:30 - 19:00,Coop Supermarkt Waldstatt,9104,2015.0,,,Waldstatt
Walenstadt,47.12344248,9.3145561,07:30 - 19:00,Coop Supermarkt Walenstadt,8880,2016.0,,,Walenstadt
Wallisellen,47.41304959,8.59273868,06:30 - 21:00,Coop Supermarkt Wallisellen Bahnhofplatz,8304,2019.0,,,Wallisellen
Wallisellen,47.40948863,8.59622588,07:00 - 21:00,Coop Supermarkt Wallisellen Richti-Shopping,8304,2019.0,,,Wallisellen
Wangen an der Aare,47.23435626,7.65615897,08:00 - 19:00,Coop Supermarkt Wangen an der Aare,3380,2028.0,,,Wangen an der Aare
Wangen bei Olten,47.3433862,7.87108314,07:30 - 18:30,Coop Supermarkt Wangen bei Olten,4612,2029.0,,,Wangen bei Olten
Wängi,47.49783976,8.95361812,07:30 - 19:00,Coop Supermarkt Wängi,9545,2032.0,,,Wängi
Wattenwil,46.76923931,7.50916043,07:30 - 18:30,Coop Supermarkt Wattenwil,3665,2037.0,,,Wattenwil
Wattwil,47.30320385,9.08631061,07:30 - 19:00,Coop Supermarkt Wattwil,9630,2038.0,,,Wattwil
Wauwil,47.18416951,8.02047046,07:00 - 19:00,Coop Supermarkt Wauwil,6242,2039.0,,,Wauwil
Weggis,47.03539832,8.42363614,07:30 - 19:00,Coop Supermarkt Weggis,6353,2042.0,,,Weggis
Weinfelden,47.56631082,9.09695006,08:00 - 20:00,Coop Supermarkt Weinfelden Thurmarkt,8570,2044.0,,,Weinfelden
Wengen,46.60497543,7.92208887,08:00 - 18:30,Coop Supermarkt Wengen,3823,,,,Lauterbrunnen
Wettingen,47.45874956,8.32977671,08:00 - 20:00,Coop Supermarkt Wettingen Tägipark,5430,2051.0,,,Neuenhof
Wetzikon (ZH),47.3262345,8.79774146,07:30 - 20:00,Coop Supermarkt Wetzikon,8620,2053.0,,,Wetzikon (ZH)
Wichtrach,46.84925507,7.57634278,08:00 - 19:00,Coop Supermarkt Wichtrach,3114,2054.0,,,Wichtrach
Wiedlisbach,47.25285632,7.64748911,08:00 - 19:00,Coop Supermarkt Wiedlisbach,4537,2057.0,,,Wiedlisbach
Wiesendangen,47.52300103,8.7877153,07:30 - 19:00,Coop Supermarkt Wiesendangen,8542,2058.0,,,Wiesendangen
Wil,47.46462089,9.04547725,08:00 - 20:00,Coop Supermarkt Wil Stadtmarkt,9500,,,,Wil (SG)
Willisau,47.1273723,7.99725098,07:30 - 19:00,Coop Supermarkt Willisau,6130,2075.0,,,Willisau
Wimmis,46.67563156,7.63800495,08:00 - 18:30,Coop Supermarkt Wimmis,3752,2076.0,,,Wimmis
Windisch,47.47444776,8.21325647,08:00 - 19:00,Coop Supermarkt Windisch Hauserstrasse,5200,2077.0,,,Windisch
Windisch,47.48155682,8.21139627,06:30 - 20:00,Coop Supermarkt Brugg Campus,5210,2077.0,,,Windisch
Windisch,47.48123598,8.21095377,06:00 - 19:00,Coop Supermarkt Windisch Bahnhof,5210,2077.0,,,Windisch
Winterthur,47.48459244,8.75882087,07:30 - 20:00,Coop Supermarkt Winterthur Seen,8405,2080.0,,,Zell (ZH)
Winterthur,47.50846621,8.71790154,07:30 - 20:00,Coop Supermarkt Winterthur Feldstrasse,8400,2080.0,,,Winterthur
Winterthur,47.5005697,8.72591426,08:30 - 20:00,Coop Supermarkt Winterthur Stadtgarten,8400,2080.0,,,Winterthur
Winterthur,47.51023823,8.69159164,07:30 - 20:00,Coop Supermarkt Winterthur Wülflingen,8408,2080.0,,,Neftenbach
Winterthur,47.49492365,8.75840051,08:00 - 20:00,Coop Supermarkt Winterthur Grüzemarkt,8404,2080.0,,,Winterthur
Winterthur,47.50029448,8.72396969,06:00 - 22:00,Coop Supermarkt Winterthur Stadttor,8400,2080.0,,,Winterthur
Winterthur,47.50905335,8.75853902,07:30 - 20:00,Coop Supermarkt Winterthur Oberi,8404,2080.0,,,Winterthur
Winterthur,47.5039842,8.77074526,07:30 - 20:00,Coop Supermarkt Winterthur Hegi,8409,2080.0,,,Wiesendangen
Winterthur,47.49493455,8.71247918,08:00 - 20:00,Coop Supermarkt Winterthur Lokwerk,8406,2080.0,,,Winterthur
Wohlen,47.35025602,8.27050802,08:00 - 20:00,Coop Supermarkt Wohlen,5610,,,,Wohlen (AG)
Wolhusen,47.05806513,8.07333462,08:00 - 19:00,Coop Supermarkt Wolhusen,6110,2094.0,,,Wolhusen
Wollerau,47.19515864,8.72308722,07:00 - 20:00,Coop Supermarkt Wollerau,8832,2095.0,,,Wollerau
Worb,46.92892565,7.56144625,08:00 - 19:00,Coop Supermarkt Worb,3076,2096.0,,,Worb
Worblaufen,46.97907525,7.45761164,06:00 - 20:00,Coop Supermarkt Worblaufen,3048,,,,Bremgarten bei Bern
Würenlingen,47.52479253,8.24439916,09:00 - 20:00,Coop Supermarkt Würenlingen Aarepark,5303,2100.0,,,Würenlingen
Würenlos,47.44316724,8.36231771,07:30 - 20:00,Coop Supermarkt Würenlos,5436,2101.0,,,Würenlos
Würenlos,47.43454515,8.35504928,08:30 - 21:00,Coop Supermarkt Würenlos Autobahnraststätte,5436,2101.0,,,Killwangen
Yverdon,46.78034551,6.63621505,08:00 - 18:30,Coop Supermarché Yverdon Bel-Air,1400,,,,Yverdon-les-Bains
Yvonand,46.79992441,6.74543735,07:30 - 18:30,Coop Supermarché Yvonand,1462,2107.0,,,Yvonand
Zermatt,46.02334317,7.74897741,08:00 - 20:00,Coop Supermarkt Zermatt,3920,2116.0,,,Zermatt
Zernez,46.70041687,10.09405322,08:00 - 12:30 14:00 - 18:30,Coop Supermarkt Zernez,7530,2117.0,,,Zernez
Zizers,46.9408341,9.56786323,07:30 - 19:30,Coop Supermarkt Zizers,7205,2123.0,,,Zizers
Zofingen,47.29224035,7.9426284,07:30 - 20:00,Coop Supermarkt Zofingen,4800,2124.0,,,Zofingen
Zollikerberg,47.34612333,8.60186438,07:00 - 20:00,Coop Supermarkt Zollikerberg,8125,,,,Zumikon
Zollikerberg,47.34701227,8.59665588,Closed,Coop Supermarkt Zollikerberg Neumünster,8125,,,,Zollikon
Zollikofen,46.99713733,7.45855123,07:00 - 19:00,Coop Supermarkt Zollikofen,3052,2125.0,,,Zollikofen
Zollikon,47.3369115,8.57668003,07:00 - 21:00,Coop Supermarkt Zollikon,8702,2126.0,,,Zollikon
Zuchwil,47.20334121,7.55895976,07:00 - 18:30,Coop Supermarkt Zuchwil,4528,2127.0,,,Zuchwil
Zug,47.17101974,8.51654607,07:30 - 19:00,Coop Supermarkt Zug Neustadt,6300,2129.0,,,Zug
Zug,47.17416839,8.51556732,06:00 - 22:00,Coop Supermarkt Zug Bahnhof,6300,2129.0,,,Zug
Zumikon,47.33680935,8.6182018,07:30 - 20:00,Coop Supermarkt Zumikon Morgental,8126,2131.0,,,Zumikon
Zuoz,46.59994428,9.96062741,08:00 - 19:00,Coop Supermarkt Zuoz,7524,2133.0,,,Zuoz
Zürich,47.3938019,8.52959845,07:00 - 21:00,Coop Supermarkt Zürich Scheffelstrasse,8037,2134.0,,,Zürich
Zürich,47.38976222,8.47200362,07:30 - 20:00,Coop Supermarkt Zürich Suteracher,8048,2134.0,,,Oberengstringen
Zürich,47.40770951,8.54929478,07:00 - 20:00,Coop Supermarkt Zürich Dorflinde,8050,2134.0,,,Opfikon
Zürich,47.3926251,8.52465998,07:30 - 20:00,Coop Supermarkt Zürich Wipkingerbrücke,8037,2134.0,,,Zürich
Zürich,47.35337391,8.55909607,07:30 - 21:00,Coop Supermarkt Zürich Tiefenbrunnen,8008,2134.0,,,Zollikon
Zürich,47.39572256,8.54047389,07:30 - 21:00,Coop Supermarkt Zürich Milchbuck,8057,2134.0,,,Zürich
Zürich,47.37002848,8.53710902,07:00 - 20:00,Coop Supermarkt Zürich Bärengasse,8001,2134.0,,,Zürich
Zürich,47.32626614,8.51425939,07:30 - 20:00,Coop Supermarkt Zürich Leimbach,8041,2134.0,,,Adliswil
Zürich,47.37582134,8.51707394,07:00 - 22:00,Coop Supermarkt Zürich Lochergut,8004,2134.0,,,Zürich
Zürich,47.41887026,8.50560779,08:00 - 20:00,Coop Supermarkt Zürich Wehntalerstrasse,8046,2134.0,,,Regensdorf
Zürich,47.37344718,8.53041304,07:00 - 21:00,Coop Supermarkt Zürich Stauffacher,8004,2134.0,,,Zürich
Zürich,47.36016255,8.5949426,07:30 - 20:00,Coop Supermarkt Zürich Witikonerstrasse,8053,2134.0,,,Zollikon
Zürich,47.41125225,8.54474408,06:00 - 22:00,Coop Supermarkt Zürich Hofwiesenstrasse,8050,2134.0,,,Opfikon
Zürich,47.36660644,8.54786884,06:00 - 22:00,Coop Supermarkt Zürich Stadelhofen,8001,2134.0,,,Zürich
Zürich,47.36435252,8.55493151,07:30 - 21:00,Coop Supermarkt Zürich Kreuzplatz,8008,2134.0,,,Zürich
Zürich,47.38471184,8.52726667,07:00 - 21:00,Coop Supermarkt Zürich Josefstrasse,8005,2134.0,,,Zürich
Zürich,47.37640455,8.55972604,07:30 - 21:00,Coop Supermarkt Zürich Fluntern,8044,2134.0,,,Zürich
Zürich,47.37711839,8.52647584,07:00 - 22:00,Coop Supermarkt Zürich Hohlstrasse,8004,2134.0,,,Zürich
Zürich,47.41378276,8.4795595,08:00 - 20:00,Coop Supermarkt Zürich Rütihof,8049,2134.0,,,Oberengstringen
Zürich,47.36782128,8.56084309,07:00 - 21:00,Coop Supermarkt Zürich Römerhof,8032,2134.0,,,Zürich
Zürich,47.364954,8.52105088,Closed,Coop Supermarkt Zürich Manessehof,8045,2134.0,,,Zürich
Zürich,47.38251785,8.54797484,07:30 - 21:00,Coop Supermarkt Zürich Universitätstrasse,8006,2134.0,,,Zürich
Zürich,47.42495489,8.53780528,07:30 - 20:00,Coop Supermarkt Zürich Schwellistrasse,8052,2134.0,,,Rümlang
Zürich,47.37670896,8.54213318,06:00 - 22:00,Coop Supermarkt Zürich Bahnhofbrücke,8001,2134.0,,,Zürich
Zürich,47.40269234,8.49831488,08:00 - 20:00,Coop Supermarkt Zürich Hönggermarkt,8049,2134.0,,,Oberengstringen
Zürich,47.38748375,8.48923087,07:30 - 20:00,Coop Supermarkt Zürich Altstetten,8048,2134.0,,,Oberengstringen
Zürich,47.41108811,8.56268255,08:00 - 20:00,Coop Supermarkt Zürich Precisa,8050,2134.0,,,Opfikon
Zürich,47.34017159,8.53067127,07:30 - 21:00,Coop Supermarkt Zürich Wollishofen,8038,2134.0,,,Kilchberg (ZH)
Zürich,47.3707316,8.51595137,07:30 - 21:00,Coop Supermarkt Zürich Wiedikon,8003,2134.0,,,Zürich
Zürich,47.38636204,8.49878459,09:00 - 20:00,Coop Supermarkt Zürich Letzipark,8048,2134.0,,,Oberengstringen
Zürich,47.41292118,8.54047205,07:30 - 21:00,Coop Supermarkt Zürich Eleven,8050,2134.0,,,Rümlang
