Gemeindename,place_latitude,place_longitude,place_openingHours,place_title,place_zipcode,Match,Gemeinde nach LONGLAT,Unnamed: 8,GMDNAME
Buochs,46.97917866,8.41578277,07:30 - 20:00,Coop Supermarkt Buochs,6374,305.0,,,Ennetbürgen
Büren an der Aare,47.13979401,7.37774318,07:00 - 19:00,Coop Supermarkt Büren,3294,309.0,,,Büren an der Aare
Burgdorf,47.05906773,7.62284534,07:30 - 20:00,Coop Supermarkt Burgdorf Stadt,3400,312.0,,,Burgdorf
Burgdorf,47.05682628,7.62936612,08:00 - 19:00,Coop Supermarkt Burgdorf Schützenmatte,3400,312.0,,,Burgdorf
Burgdorf,47.06064381,7.62163974,06:00 - 22:00,Coop Supermarkt Burgdorf Bahnhof,3400,312.0,,,Burgdorf
Busswil b. Büren,47.09953323,7.32093637,07:00 - 19:00,Coop Supermarkt Busswil,3292,,,,Büetigen
Bützberg,47.21391969,7.74370409,08:00 - 19:00,Coop Supermarkt Bützberg,4922,,,,Thunstetten
Canobbio,46.02831325,8.96756653,08:30 - 19:00,Coop Supermercato Canobbio Ipermercato Resega,6952,338.0,,,Canobbio
Carouge,46.18523964,6.14411526,07:30 - 19:00,Coop Supermarché Carouge Cardinal Mermillod,1227,,,,Carouge (GE)
Carouge,46.18877114,6.13672543,07:30 - 19:00,Coop Supermarché Carouge Acacias,1227,,,,Carouge (GE)
Caslano,45.97368146,8.87969871,08:00 - 19:00,Coop Supermercato Caslano,6987,342.0,,,Caslano
Castione,46.2232493,9.04733519,08:00 - 19:00,Coop Supermercato Castione,6532,,,,Arbedo-Castione
Celerina,46.51321626,9.86221684,08:00 - 12:15 14:00 - 18:30,Coop Supermarkt Celerina,7505,,,,Celerina/Schlarigna
Cevio,46.31842642,8.60197512,08:00 - 19:00,Coop Supermercato Cevio,6675,350.0,,,Cevio
Cham,47.18145098,8.46177707,08:00 - 19:00,Coop Supermarkt Cham Seehof,6330,352.0,,,Cham
Champéry,46.17524797,6.87091295,08:00 - 18:30,Coop Supermarché Champéry,1874,356.0,,,Champéry
Charmey,46.61972935,7.16064205,07:30 - 19:00,Coop Supermarché Charmey,1637,,,,Val-de-Charmey
Château-d'Oex,46.47402142,7.13347525,08:00 - 19:00,Coop Supermarché Château-d'Oex,1660,363.0,,,Château-d'Oex
Chatel Saint Denis,46.52276371,6.89801781,07:30 - 19:00,Coop Supermarché Châtel Saint Denis,1618,,,,Châtel-Saint-Denis
Châtelaine,46.21296159,6.11259677,07:30 - 19:00,Coop Supermarché Vernier Châtelaine la Fenice,1219,,,,Lancy
Chavornay,46.70913435,6.57006726,07:30 - 19:00,Coop Supermarché Chavornay,1373,375.0,,,Chavornay
Chêne-Bougeries,46.20436419,6.19998633,08:00 - 19:00,Coop Supermarché Chêne-Bougeries Montagne,1224,376.0,,,Chêne-Bourg
Cheseaux,46.58638965,6.60466177,Closed,Coop Supermarché Cheseaux,1033,,,,Cheseaux-sur-Lausanne
Chexbres,46.48242867,6.77471763,07:30 - 19:00,Coop Supermarché Chexbres,1071,386.0,,,Chexbres
Chur,46.85910014,9.52682223,07:30 - 20:00,Coop Supermarkt Chur Tittwiesen,7000,392.0,,,Chur
Chur,46.85761953,9.52017951,07:30 - 20:00,Coop Supermarkt Chur Kurfirsten,7000,392.0,,,Chur
Chur,46.85244259,9.53460415,08:00 - 20:00,Coop Supermarkt Chur Quader,7000,392.0,,,Chur
Chur,46.8474601,9.50829719,09:00 - 20:00,Coop Supermarkt Chur West,7000,392.0,,,Chur
Chur,46.85290275,9.52962459,06:00 - 20:00,Coop Supermarkt Chur Steinbock,7001,392.0,,,Chur
Chur,46.85269543,9.53161027,09:00 - 19:00,Coop City Chur K.,7000,392.0,,,Chur
Churwalden,46.77925176,9.54421335,08:00 - 19:00,Coop Supermarkt Churwalden,7075,393.0,,,Churwalden
Claro,46.25278437,9.02274681,08:00 - 19:00,Coop Supermercato Claro,6702,,,,Arbedo-Castione
Collombey,46.26496234,6.95377528,08:30 - 18:30,Coop Supermarché Collombey,1868,,,,Monthey
Colombier,46.96573799,6.85444527,08:00 - 19:00,Coop Supermarché Colombier,2013,,,,Milvignes
Confignon,46.17473045,6.08357237,08:00 - 19:00,Coop Supermarché Confignon,1232,408.0,,,Confignon
Conthey,46.22400458,7.30471535,08:30 - 18:30,Coop Supermarché Conthey,1964,410.0,,,Conthey
Conthey,46.22396684,7.29580013,08:30 - 18:30,Coop Supermarché Conthey Bassin,1964,410.0,,,Conthey
Cortaillod,46.94369648,6.84526793,08:00 - 19:00,Coop Supermarché Cortaillod,2016,426.0,,,Cortaillod
Courroux,47.36157255,7.37478649,07:30 - 18:30,Coop Supermarché Courroux,2822,435.0,,,Courroux
Couvet,46.92198893,6.62440549,07:30 - 19:00,Coop Supermarché Couvet,2108,,,,Val-de-Travers
Crans,46.30764132,7.46784463,08:00 - 19:00,Coop Supermarché Crans-Sur-Sierre,3963,,,,Crans-Montana
Crans-Montana,46.3117566,7.48306165,08:00 - 19:00,Coop Supermarché Crans-Montana,3963,442.0,,,Crans-Montana
Crissier,46.54495464,6.57001943,08:30 - 19:30,Coop Supermarché Crissier,1023,448.0,,,Renens (VD)
Cully,46.4881232,6.72868502,08:00 - 19:00,Coop Supermarché Cully,1096,,,,Bourg-en-Lavaux
Dagmersellen,47.21209423,7.99030709,07:30 - 19:00,Coop Supermarkt Dagmersellen,6252,462.0,,,Dagmersellen
Davos Platz,46.79291452,9.82073474,08:00 - 20:00,Coop Supermarkt Davos,7270,,,,Davos
Degersheim,47.37230702,9.1953316,07:30 - 19:00,Coop Supermarkt Degersheim,9113,475.0,,,Degersheim
Delemont,47.37072722,7.35846418,08:00 - 18:30,Coop Supermarché Coop Delémont Ticle,2800,,,,Delémont
Derendingen,47.19631192,7.58602343,07:30 - 18:30,Coop Supermarkt Derendingen,4552,484.0,,,Derendingen
