Gemeinde,lat,long,name,GMDNAME
La Tour-de-Trême,46.60047,7.075919,Denner Filiale,Gruyères
La Tour-de-Trême,46.610626,7.063408,Denner Express,Bulle
Lachen,47.1918831,8.8558283,Denner Filiale,Lachen
Lamone,46.04316,8.92857,Denner Partner,Lamone
Lancy,46.1898232,6.1164699,Denner Express,Lancy
Landquart,46.967933,9.563202,Denner Filiale,Landquart
Langendorf,47.21866,7.51311,Denner Filiale,Langendorf
Langenthal,47.2141457,7.7840939,Denner Filiale,Langenthal
Langenthal,47.2103806,7.7911844,Denner Filiale,Langenthal
Langnau am Albis,47.2910088,8.5375652,Denner Express,Langnau am Albis
Langnau im Emmental,46.92493,7.81878,Denner Partner,Trubschachen
Laufen,47.4199867,7.5014377,Denner Express,Laufen
Laupen (BE),46.9035149,7.2400594,Denner Satellit,Laupen
Laupersdorf,47.31372,7.65113,Denner Express,Laupersdorf
Lausanne,46.5361824,6.6203022,Denner Filiale,Prilly
Lausanne,46.5180969,6.608561,Denner Filiale,Prilly
Lausanne,46.5269852,6.6512017,Denner Express,Pully
Lausanne,46.5159683,6.6265769,Denner Filiale,Lausanne
Lausanne,46.5279274,6.6169996,Denner Filiale,Prilly
Lausanne,46.5436076,6.6472566,Denner Satellit,Le Mont-sur-Lausanne
Lausanne,46.5227394,6.6270876,Denner Filiale,Lausanne
Lausanne,46.5274391,6.6327429,Denner Filiale,Lausanne
Lausanne,46.5341568,6.630321,Denner Filiale,Lausanne
Lausanne,46.5148618,6.6327179,Denner Express,Lausanne
Lausanne,46.52721,6.65175,Denner Filiale,Pully
Lausanne,46.5383,6.66633,Denner Satellit,Epalinges
Lausen,47.4721317,7.7593685,Denner Express,Lausen
Le Brassus,46.5823028,6.2122194,Denner Satellit,Le Chenit
Le Brassus,46.5824131,6.2123309,Denner Express,Le Chenit
Le Grand-Saconnex PAL,46.2306213,6.1181378,Denner Filiale,Le Grand-Saconnex
Le Locle,47.056282,6.7477398,Denner Filiale,Le Locle
Le Sentier,46.60797,6.23155,Denner Satellit,Le Chenit
Lengnau (BE),47.1796875,7.3701205,Denner Partner,Lengnau (BE)
Lenzburg,47.39036,8.17246,Denner Filiale,Lenzburg
Lenzburg,47.3880501,8.1770763,Denner Express,Lenzburg
Les Acacias,46.1920979,6.1391911,Denner Filiale,Carouge (GE)
Les Bois,47.1759201,6.904347,Denner Express,Les Bois
Les Diablerets,46.3498764,7.1585131,Denner Express,Ormont-Dessus
Les Haudères,46.0841179,7.5088329,Denner Satellit,Evolène
Leuggern,47.5806389,8.2152987,Denner Satellit,Leuggern
Leysin,46.3416867,7.0079412,Denner Satellit,Leysin
Liebefeld,46.93328,7.41926,Denner Filiale,Köniz
Liestal,47.4829369,7.7343044,Denner Satellit,Liestal
Liestal,47.485175,7.73826,Denner Filiale,Liestal
Locarno,46.1650074,8.7965591,Denner Filiale,Locarno
Lodrino,46.3012085,8.9803867,Denner Satellit,Riviera
Lohn-Ammannsegg,47.16399,7.52621,Denner Partner,Lohn-Ammannsegg
Lommis,47.5177002,8.9942999,Denner Express,Lommis
Losone,46.1652946,8.772603,Denner Filiale,Ascona
Lostorf,47.3843002,7.9487,Denner Satellit,Lostorf
Lucens,46.7085724,6.8414674,Denner Partner,Lucens
Lugano,46.0210838,8.9580622,Denner Filiale,Porza
Lumino,46.232281,9.065094,Denner Satellit,Lumino
Lupfig,47.44016,8.20649,Denner Partner,Lupfig
Lüscherz,47.04669,7.15026,Denner Satellit,Lüscherz
Luterbach,47.216923,7.586435,Denner Express,Luterbach
Luzern,47.0563583,8.3101654,Denner Filiale,Luzern
Luzern,47.03707,8.32821,Denner Filiale,Luzern
Luzern,47.0430031,8.3112516,Denner Filiale,Luzern
Luzern,47.045826,8.3006907,Denner Filiale,Luzern
Luzern,47.0641212,8.2785912,Denner Filiale,Emmen
Luzern,47.0529137,8.2826281,Denner Express,Kriens
