Gemeinde,lat,long,name
 Agno,45.9980087,8.9008131,Denner Partner
 Chur,46.8599014,9.5169897,Denner Filiale
 Belfaux,46.8238257,7.0987289,Denner Filiale
 Vevey,46.45861,6.84848,Denner Filiale
 Basel,47.556324,7.5835977,Denner Filiale
 Vernayaz,46.1347844,7.0390378,Denner Express
 Bern,46.9438764,7.373184,Denner Filiale
 Giornico,46.401719,8.87735,Denner Satellit
 Affoltern am Albis,47.27612,8.45027,Denner Filiale
 Genève,46.2042809,6.1572356,Denner Filiale
 Steinhausen,47.191773,8.4884467,Denner Filiale
 Bülach,47.509613,8.539238,Denner Filiale
 Schlieren,47.3960838,8.4394464,Denner Express
 St-Légier,46.4707372,6.8807375,Denner Satellit
 Gals,47.0198,7.04164,Denner Filiale
 Biel/Bienne,47.1349983,7.2441654,Denner Filiale
 Lohn-Ammannsegg,47.16399,7.52621,Denner Partner
 Zürich,47.4017372,8.4996614,Denner Express
 Fällanden,47.3692503,8.6441186,Denner Express
 Bern,46.9613113,7.4529667,Denner Filiale
 Wohlen AG,47.34714,8.29053,Denner Filiale
 Volketswil,47.3883667,8.6805525,Denner Filiale
 Binningen,47.5305214,7.5699825,Denner Filiale
 Vernier,46.21562,6.08078,Denner Filiale
 Vétroz,46.2254028,7.280314,Denner Satellit
 Sion,46.22751,7.3839,Denner Filiale
 Muhen,47.3347435,8.0544405,Denner Satellit
 Genève,46.1940536,6.1660533,Denner Express
 Neuchâtel,47.0053731,6.9620987,Denner Express
 Dietikon,47.395819,8.414943,Denner Satellit
 Penthaz,46.60039,6.53802,Denner Express
 Grenchen,47.1937675,7.3966522,Denner Filiale
 Fribourg,46.8106689,7.1477065,Denner Filiale
 Gelterkinden,47.4651375,7.852355,Denner Filiale
 Frick,47.50724,8.0233,Denner Filiale
 S. Antonino,46.1562392,8.9720317,Denner Filiale
 Bern,46.9451447,7.4268112,Denner Filiale
 Bubendorf,47.4568596,7.7432175,Denner Filiale
 Windisch,47.47722,8.21652,Denner Filiale
 Genève,46.2082291,6.124228,Denner Filiale
 Crissier,46.5541191,6.5690165,Denner Filiale
 Bussigny-Lausanne,46.5399208,6.5537305,Denner Filiale
 Allschwil,47.5474625,7.5535655,Denner Filiale
 Sissach,47.461828,7.82409,Denner Filiale
 Entlebuch,46.991361,8.065358,Denner Satellit
 Chur,46.8469532,9.5211956,Denner Filiale
 Horgen,47.2599525,8.5980597,Denner Filiale
 Zürich,47.3838768,8.5319653,Denner Filiale
 Châtel-St-Denis,46.5322418,6.89639,Denner Partner
 Bülach,47.5209742,8.5399111,Denner Filiale
 Epalinges,46.5481567,6.6706338,Denner Filiale
 Grenchen,47.1887512,7.3856654,Denner Filiale
 Huttwil,47.1138687,7.8479328,Denner Filiale
 Rapperswil SG,47.2291756,8.8208418,Denner Filiale
 Susten,46.3114433,7.6402068,Denner Express
 Schaffhausen,47.6987228,8.6551208,Denner Filiale
 Wädenswil,47.2284851,8.6688023,Denner Filiale
 Morges,46.5097237,6.4947696,Denner Express
 Cudrefin,46.9594536,7.0274453,Denner Satellit
