GMDNAME,KTNAME,LAT_CNTR,LONG_CNTR,HEIGHT_CNTR,BEVDICHTE_SQKM_ 2019,AUSLAENDER_ANTEIL_2019,ALTERSVERTEILUNG_ANTEIL_0_19_ 2019,ALTERSVERTEILUNG_ANTEIL_20_64_ 2019,ALTERSVERTEILUNG_ANTEIL_65PLUS_ 2019,PRIVATHAUSHALTE_2019,DURCHSCH_HAUSHALTSGROESSE_2019,GESAMTFLAECHE_ SQKM_2016,LANDWIRTSCHAFTSFLAECHE_ANTEIL_2004/09,WALD_GEHOELZE_ANTEIL_2004/09,UNPRODUKTIVE_FLAECHE_ANTEIL_2004/09,BESCHAEFTIGTE_TOTAL_2018,BESCHAEFTIGTE_ERSTERSEKTOR_2018,BESCHAEFTIGTE_ZWEITERRSEKTOR_2018,BESCHAEFTIGTE_DRITTERSEKTOR_2018,ARBEITSSTAETTEN_TOTAL_2018,ARBEITSSTAETTEN_ERSTERSEKTOR_2018,ARBEITSSTAETTEN_ZWEITERSEKTOR_2018,ARBEITSSTAETTEN_DRITTERSEKTOR_2018,NEUWOHNUNGEN_PRO_1000_2018,SOZAILHILFEQUOTE_2019,WAEHLERANTEIL_FDP_2019,WAEHLERANTEIL_CVP_2019,WAEHLERANTEIL_SP_2019,WAEHLERANTEIL_SVP_2019,WAEHLERANTEIL_EVP_CSP_2019,WAEHLERANTEIL_GLP_2019,WAEHLERANTEIL_BDP_2019,WAEHLERANTEIL_PDA_SOL_2019,WAEHLERANTEIL_GPS_2019,WAEHLERANTEIL_KLEINERECHTSPARTEIN_2019,AVG_INCOME_PRO_STEUERPFLPERSON,STEUERBARES_EINKOMMEN_GEMEINDE,ANZAHL_FAHRZEUGE,ANZAHL_HALTESTELLEN_OV,Anzahl Filialen Coop,Anzahl Filialen Migros,Anzahl Filialen Denner,Anzahl Filialen Spar
Wangen (SZ),Schwyz,47.1910292046681,8.89545017504217,471.446013931185,608.7470449,15.30097087,18.31067961,63.47572816,18.21359223,2223,2.264957265,8.46,59.90510083,10.43890866,3.914590747,1827.0,103.0,602.0,1122.0,427.0,46.0,102.0,279.0,4.190780283,1.15,19.26984127,13.26984127,17.6031746,41.15873016,0.666666667,4.857142857,,,3.174603175,,72957.766990291,165.3223,2639.0000005629868,10,1,2,1,1
Wangen an der Aare,Bern,47.2342206549097,7.65520228833191,467.711489602923,444.6360153,15.38130116,19.00043085,61.82679879,19.17277036,1093,2.096065874,5.22,41.49139579,28.10707457,8.030592734,1117.0,40.0,297.0,780.0,195.0,12.0,45.0,138.0,4.780530204,2.85,17.01097482,1.471917366,9.974176888,37.55971595,2.846998063,7.327307941,9.599741769,0.051646223,8.560361524,1.917366043,61242.54473161,61.61,1517.9999996893937,4,1,1,0,0
Wangen bei Olten,Solothurn,47.345155955926,7.86870848895796,489.530762366019,737.6436782,23.86053759,19.47798987,61.68679392,18.83521621,2259,2.23373174,6.96,24.67718795,52.94117647,0.286944046,2615.0,13.0,413.0,2189.0,192.0,4.0,28.0,160.0,2.354788069,2.89,19.5262484,12.8681178,19.30857875,24.13572343,2.317541613,7.080665813,1.71574904,,12.04865557,0.294494238,69269.614217599,159.805,2783.9999995807625,9,1,0,0,0
Wangen-Brüttisellen,Zürich,47.4107110775808,8.64570639021032,490.235841345973,1005.934343,27.32521652,21.6141584,64.00150621,14.38433538,3267,2.397000306,7.92,43.67088608,25.56962025,0.506329114,5859.0,29.0,1361.0,4469.0,563.0,15.0,104.0,444.0,1.775973614,2.5,16.59403514,3.043715103,13.20475283,36.08198284,1.802737301,14.83045077,2.973920741,0.07830587,8.436606292,1.605270326,83725.317577548,283.4102,4642.000000872697,13,0,0,0,0
Wangenried,Bern,47.2189273633539,7.65646076719011,512.685285674408,139.1752577,4.444444444,20.0,56.2962963,23.7037037,175,2.274285714,2.91,67.8200692,23.183391,1.038062284,112.0,34.0,43.0,35.0,31.0,14.0,4.0,13.0,0.0,,7.670614777,0.535815003,12.29554428,44.58544839,1.692047377,7.614213198,10.46249295,0.02820079,8.262831359,2.566271856,61404.347826087,11.2984,269.99999990550003,3,0,0,0,0
Wängi,Thurgau,47.4961513456391,8.95292164361123,513.990784984082,290.2617164,15.07653596,22.43656951,60.87230027,16.69113022,1924,2.446985447,16.43,68.14589666,16.83890578,0.607902736,1943.0,147.0,783.0,1013.0,359.0,48.0,89.0,222.0,1.501501502,1.4,10.93769202,15.75519233,9.155708492,36.11896276,2.335012904,8.774732703,3.355044857,,9.180287575,4.387366351,71946.303093865,137.2016,3127.9999993667398,10,1,0,0,0
Wartau,St. Gallen,47.0929873517014,9.48430750782486,597.969752733596,126.8263473,30.802644,22.98394712,59.41454202,17.60151086,2195,2.391343964,41.75,45.77245509,38.44311377,8.982035928,2125.0,213.0,871.0,1041.0,359.0,51.0,64.0,244.0,4.342900302,1.6,28.49169348,8.34591897,10.96592028,31.66327402,1.746667542,8.94346313,0.833935255,,7.525116554,0.630376256,59526.251754797,127.2076,3178.9999988543823,27,2,2,1,0
Warth-Weiningen,Thurgau,47.5844232106849,8.87300949061822,502.110622206703,162.362972,11.77794449,18.75468867,62.04051013,19.2048012,574,2.31010453,8.21,53.28467153,27.85888078,5.596107056,584.0,67.0,138.0,379.0,84.0,17.0,16.0,51.0,7.593014427,,11.42553944,11.31941988,9.869119208,44.81782809,1.591793421,8.383445348,2.051644853,,8.666430845,1.874778918,104209.56521739,59.9205,894.0000000556267,9,0,0,0,0
Wassen,Uri,46.7059010998179,8.59986415799375,967.934412072413,4.180429397,20.49382716,17.28395062,57.03703704,25.67901235,171,2.257309942,96.88,11.53647714,22.79434527,64.53410381,238.0,34.0,21.0,183.0,,14.0,,34.0,0.0,,,36.84210526,9.649122807,49.12280702,,,,,,,52374.011299435,9.2702,260.000000078,9,0,0,0,0
Wasterkingen,Zürich,47.5904802693005,8.47296020832088,440.911975219846,142.1717172,9.591474245,20.24866785,59.32504441,20.42628774,251,2.215139442,3.96,48.98477157,43.40101523,0.253807107,74.0,18.0,12.0,44.0,,8.0,,20.0,0.0,,10.38815973,1.773247696,10.70929908,46.76068137,2.485339291,11.77045518,2.569114772,0.0,10.65344876,2.234012846,72543.984962406,19.2967,373.00000010941335,2,0,0,0,0
Wattenwil,Bern,46.7702560679445,7.50933264362091,645.710105729289,207.565337,3.943008615,22.59774685,57.0907886,20.31146455,1283,2.310989868,14.54,40.94052559,49.51590595,1.728907331,1120.0,96.0,263.0,761.0,220.0,34.0,45.0,141.0,13.47150259,3.54,4.608580961,0.562495151,11.7231748,38.88587167,8.185274265,8.04174102,5.621072232,0.558615874,8.93009543,7.549072853,55985.586392122,62.5359,1763.000000959366,11,1,0,1,0
