xtf_id,Nummer,Bezeichnung,BetrieblicheBezeichnung,Laenge,Kantenhoehe,Gueltigkeit_BeginnGueltigkeit,Gueltigkeit_EndeGueltigkeit,Gueltigkeit_Stand,rHaltestelle,E,N,H
ch14uvag00236144,ch:1:sloid:92969:0:55672,,rlul01,,,20200106,,20220508,ch14uvag00049477,2508216.448,1120070.155,445.2
ch14uvag00226084,ch:1:sloid:89281::51,,51,,,20220207,,20220508,ch14uvag00045915,2711856,1242974,749.4
ch14uvag00235037,ch:1:sloid:90089:0:2,,2,,,20190722,,20220508,ch14uvag00040727,2602668.236,1199127.788,562.9
ch14uvag00242342,ch:1:sloid:91508::308102,,2,,,20211212,,20220508,ch14uvag00039375,2703784,1112249,199.3
ch14uvag00238791,ch:1:sloid:87735::2,,2,,,20210201,,20220508,ch14uvag00060938,2649511.05593,1224548.28609,525.8
ch14uvag00238793,ch:1:sloid:30268:0:223975,,1,,,20210211,,20220508,ch14uvag00051442,2599875,1144631,1096.7
ch14uvag00226599,ch:1:sloid:90735::51,,51,,,20220207,,20220508,ch14uvag00055210,2685951,1237134,454.7
ch14uvag00227376,ch:1:sloid:90478::51,,51,,,20220207,,20220508,ch14uvag00038563,2682162,1240829,447.8
ch14uvag00232292,ch:1:sloid:76113::51,,51,,,20220207,,20220508,ch14uvag00057032,2695116,1229023,501.1
ch14uvag00229993,ch:1:sloid:94536:1:3,,13,,,20110418,,20220508,ch14uvag00061332,2611995.022,1178994.048,561.8
ch14uvag00232676,ch:1:sloid:3084::20,,20,,,20220207,,20220508,ch14uvag00064885,2685807,1247560,606.3
ch14uvag00226511,ch:1:sloid:75939::50,,50,,,20220207,,20220508,ch14uvag00051993,2693455,1255114,522
ch14uvag00232029,ch:1:sloid:95021:0:786371,,pley02,12.00,16.00,20200106,,20220508,ch14uvag00046858,2500330.505,1117281.183,388.5
ch14uvag00248233,ch:1:sloid:94387:0:511603,,9438702,25.00,16.00,20220301,,20220508,ch14uvag00060047,2742862,1252671,637
ch14uvag00248231,ch:1:sloid:89588:0:791699,,8958801,20.00,9.00,20220301,,20220508,ch14uvag00060041,2748215,1256714,674
ch14uvag00241304,ch:1:sloid:8151::81511,,81511,40.00,35.00,20210101,,20220508,ch14uvag00050722,2626019,1230487,463.8
ch14uvag00231193,ch:1:sloid:92676:0:333238,,jvuy01,17.00,12.00,20200106,,20220508,ch14uvag00042710,2500316.462,1114710.216,417.5
ch14uvag00235685,ch:1:sloid:90084:0:2,,2,,,20190722,,20220508,ch14uvag00040737,2596360.333,1198313.553,562.3
ch14uvag00247614,ch:1:sloid:93400:0:2,,2,,,20220301,,20220508,ch14uvag00039685,2682105,1228037,439
ch14uvag00249358,ch:1:sloid:88115:0:01,,106101,5.40,16.00,20220329,,20220508,ch14uvag00060696,2689080.49746,1211578.35435,472.3
ch14uvag00226856,ch:1:sloid:78254:1:2,,2,,,20200703,,20220508,ch14uvag00050678,2624159.42,1252811.337,515.9
ch14uvag00227998,ch:1:sloid:76814:1:4,,11,,,19990101,,20220508,ch14uvag00061235,2611212.255,1178486.972,565.5
ch14uvag00225688,ch:1:sloid:76067::50,,50,,,20220207,,20220508,ch14uvag00059930,2697229,1233075,416
ch14uvag00243813,ch:1:sloid:91651::403502,,1,,,20211212,,20220508,ch14uvag00062637,2716065,1097578,373.9
ch14uvag00243810,ch:1:sloid:91632::410902,,1,,,20211212,,20220508,ch14uvag00055805,2716898,1094413,277.9
ch14uvag00231525,ch:1:sloid:4881:0:15251,19,19,23.00,16.00,20201213,,20220508,ch14uvag00046341,2578010,1183656,622
